,Py1
980305200000,0.338
980308800000,0.302
980312400000,0.272
980316000000,0.243
980319600000,0.201
980323200000,0.134
980326800000,0.155
980330400000,0.245
980334000000,0.306
980337600000,0.31
980341200000,0.273
980344800000,0.247
980348400000,0.228
980352000000,0.206
980355600000,0.194
980359200000,0.189
980362800000,0.194
980366400000,0.205
980370000000,0.203
980373600000,0.187
980377200000,0.164
980380800000,0.174
980384400000,0.178
980388000000,0.169
980391600000,0.155
980395200000,0.141
980398800000,0.133
980402400000,0.127
980406000000,0.111
980409600000,0.08
980413200000,0.068
980416800000,0.068
980420400000,0.073
980424000000,0.078
980427600000,0.07
980431200000,0.068
980434800000,0.072
980438400000,0.098
980442000000,0.136
980445600000,0.181
980449200000,0.233
980452800000,0.289
980456400000,0.325
980460000000,0.334
980463600000,0.317
980467200000,0.328
980470800000,0.298
980474400000,0.251
980478000000,0.212
980481600000,0.179
980485200000,0.15
980488800000,0.129
980492400000,0.118
980496000000,0.11
980499600000,0.1
980503200000,0.08
980506800000,0.06
980510400000,0.045
980514000000,0.041
980517600000,0.047
980521200000,0.071
980524800000,0.116
980528400000,0.176
980532000000,0.256
980535600000,0.345
980539200000,0.4
980542800000,0.454
980546400000,0.458
980550000000,0.448
980553600000,0.454
980557200000,0.413
980560800000,0.374
980564400000,0.344
980568000000,0.32
980571600000,0.3
980575200000,0.291
980578800000,0.287
980582400000,0.252
980586000000,0.227
980589600000,0.259
980593200000,0.332
980596800000,0.395
980600400000,0.442
980604000000,0.417
980607600000,0.387
980611200000,0.362
980614800000,0.362
980618400000,0.376
980622000000,0.401
980625600000,0.424
980629200000,0.463
980632800000,0.496
980636400000,0.536
980640000000,0.633
980643600000,0.652
980647200000,0.635
980650800000,0.557
980654400000,0.433
980658000000,0.343
980661600000,0.352
980665200000,0.305
980668800000,0.224
980672400000,0.227
980676000000,0.27
980679600000,0.317
980683200000,0.389
980686800000,0.403
980690400000,0.362
980694000000,0.311
980697600000,0.27
980701200000,0.254
980704800000,0.252
980708400000,0.259
980712000000,0.266
980715600000,0.279
980719200000,0.283
980722800000,0.255
980726400000,0.31
980730000000,0.334
980733600000,0.325
980737200000,0.302
980740800000,0.28
980744400000,0.254
980748000000,0.221
980751600000,0.182
980755200000,0.134
980758800000,0.119
980762400000,0.134
980766000000,0.16
980769600000,0.187
980773200000,0.203
980776800000,0.225
980780400000,0.238
980784000000,0.244
980787600000,0.245
980791200000,0.237
980794800000,0.241
980798400000,0.241
980802000000,0.238
980805600000,0.233
980809200000,0.19
980812800000,0.193
980816400000,0.177
980820000000,0.162
980823600000,0.153
980827200000,0.143
980830800000,0.13
980834400000,0.111
980838000000,0.084
980841600000,0.055
980845200000,0.042
980848800000,0.035
980852400000,0.032
980856000000,0.036
980859600000,0.045
980863200000,0.068
980866800000,0.099
980870400000,0.118
980874000000,0.142
980877600000,0.16
980881200000,0.167
980884800000,0.165
980888400000,0.158
980892000000,0.142
980895600000,0.114
980899200000,0.1
980902800000,0.083
