,B1
1043942400000,0.765
1043946000000,0.763
1043949600000,0.768
1043953200000,0.78
1043956800000,0.788
1043960400000,0.803
1043964000000,0.818
1043967600000,0.857
1043971200000,0.896
1043974800000,0.917
1043978400000,0.922
1043982000000,0.921
1043985600000,0.918
1043989200000,0.911
1043992800000,0.901
1043996400000,0.879
1044000000000,0.831
1044003600000,0.74
1044007200000,0.631
1044010800000,0.568
1044014400000,0.552
1044018000000,0.582
1044021600000,0.563
1044025200000,0.549
1044028800000,0.536
1044032400000,0.52
1044036000000,0.443
1044039600000,0.398
1044043200000,0.438
1044046800000,0.353
1044050400000,0.337
1044054000000,0.425
1044057600000,0.574
1044061200000,0.668
1044064800000,0.728
1044068400000,0.742
1044072000000,0.746
1044075600000,0.751
1044079200000,0.748
1044082800000,0.709
1044086400000,0.58
1044090000000,0.473
1044093600000,0.429
1044097200000,0.434
1044100800000,0.485
1044104400000,0.504
1044108000000,0.491
1044111600000,0.459
1044115200000,0.451
1044118800000,0.435
1044122400000,0.43
1044126000000,0.367
1044129600000,0.294
1044133200000,0.3
1044136800000,0.332
1044140400000,0.51
1044144000000,0.663
1044147600000,0.709
1044151200000,0.727
1044154800000,0.705
1044158400000,0.663
1044162000000,0.628
1044165600000,0.607
1044169200000,0.595
1044172800000,0.527
1044176400000,0.459
1044180000000,0.454
1044183600000,0.464
1044187200000,0.491
1044190800000,0.527
1044194400000,0.568
1044198000000,0.595
1044201600000,0.596
1044205200000,0.603
1044208800000,0.606
1044212400000,0.593
1044216000000,0.578
1044219600000,0.569
1044223200000,0.556
1044226800000,0.661
1044230400000,0.729
1044234000000,0.737
1044237600000,0.718
1044241200000,0.668
1044244800000,0.625
1044248400000,0.61
1044252000000,0.615
1044255600000,0.625
1044259200000,0.609
1044262800000,0.601
1044266400000,0.561
1044270000000,0.516
1044273600000,0.513
1044277200000,0.503
1044280800000,0.487
1044284400000,0.447
1044288000000,0.425
1044291600000,0.423
1044295200000,0.432
1044298800000,0.457
1044302400000,0.478
1044306000000,0.496
1044309600000,0.509
1044313200000,0.59
1044316800000,0.731
1044320400000,0.762
1044324000000,0.75
1044327600000,0.701
1044331200000,0.642
1044334800000,0.603
1044338400000,0.586
1044342000000,0.58
1044345600000,0.533
1044349200000,0.518
1044352800000,0.552
1044356400000,0.605
1044360000000,0.679
1044363600000,0.731
1044367200000,0.733
1044370800000,0.713
1044374400000,0.707
1044378000000,0.707
1044381600000,0.706
1044385200000,0.715
1044388800000,0.72
1044392400000,0.725
1044396000000,0.733
1044399600000,0.831
1044403200000,0.885
1044406800000,0.885
1044410400000,0.871
1044414000000,0.846
1044417600000,0.813
1044421200000,0.786
1044424800000,0.765
1044428400000,0.748
1044432000000,0.704
1044435600000,0.658
1044439200000,0.639
1044442800000,0.653
1044446400000,0.673
1044450000000,0.7
1044453600000,0.71
1044457200000,0.69
1044460800000,0.678
1044464400000,0.689
1044468000000,0.705
1044471600000,0.724
1044475200000,0.74
1044478800000,0.752
1044482400000,0.763
1044486000000,0.827
1044489600000,0.866
1044493200000,0.874
1044496800000,0.879
1044500400000,0.877
1044504000000,0.878
1044507600000,0.876
1044511200000,0.858
1044514800000,0.821
1044518400000,0.755
1044522000000,0.718
1044525600000,0.751
1044529200000,0.801
1044532800000,0.83
1044536400000,0.828
1044540000000,0.823
1044543600000,0.819
1044547200000,0.827
1044550800000,0.838
1044554400000,0.833
1044558000000,0.826
1044561600000,0.819
1044565200000,0.8
1044568800000,0.778
1044572400000,0.809
1044576000000,0.886
1044579600000,0.911
1044583200000,0.907
1044586800000,0.91
1044590400000,0.913
1044594000000,0.914
1044597600000,0.911
1044601200000,0.888
1044604800000,0.847
1044608400000,0.802
1044612000000,0.778
1044615600000,0.765
1044619200000,0.763
1044622800000,0.751
1044626400000,0.705
1044630000000,0.623
1044633600000,0.492
1044637200000,0.391
1044640800000,0.376
1044644400000,0.352
1044648000000,0.348
1044651600000,0.343
1044655200000,0.337
1044658800000,0.413
1044662400000,0.566
1044666000000,0.678
1044669600000,0.74
1044673200000,0.747
1044676800000,0.733
1044680400000,0.72
1044684000000,0.71
1044687600000,0.672
1044691200000,0.557
1044694800000,0.448
1044698400000,0.388
1044702000000,0.334
1044705600000,0.285
1044709200000,0.243
1044712800000,0.233
1044716400000,0.205
1044720000000,0.183
1044723600000,0.169
1044727200000,0.172
1044730800000,0.192
1044734400000,0.209
1044738000000,0.234
1044741600000,0.27
1044745200000,0.394
1044748800000,0.56
1044752400000,0.607
1044756000000,0.607
1044759600000,0.564
1044763200000,0.504
1044766800000,0.444
1044770400000,0.399
1044774000000,0.374
1044777600000,0.332
1044781200000,0.311
1044784800000,0.348
1044788400000,0.348
1044792000000,0.326
1044795600000,0.302
1044799200000,0.279
1044802800000,0.253
1044806400000,0.237
1044810000000,0.234
1044813600000,0.241
1044817200000,0.266
1044820800000,0.323
1044824400000,0.383
1044828000000,0.4
1044831600000,0.544
1044835200000,0.722
1044838800000,0.806
1044842400000,0.831
1044846000000,0.813
1044849600000,0.768
1044853200000,0.718
1044856800000,0.678
1044860400000,0.638
1044864000000,0.555
1044867600000,0.52
1044871200000,0.551
1044874800000,0.558
1044878400000,0.522
1044882000000,0.432
1044885600000,0.382
1044889200000,0.367
1044892800000,0.392
1044896400000,0.436
1044900000000,0.456
1044903600000,0.429
1044907200000,0.374
1044910800000,0.311
1044914400000,0.282
1044918000000,0.395
1044921600000,0.602
1044925200000,0.716
1044928800000,0.724
1044932400000,0.703
1044936000000,0.679
1044939600000,0.668
1044943200000,0.644
1044946800000,0.586
1044950400000,0.466
1044954000000,0.315
1044957600000,0.255
1044961200000,0.222
1044964800000,0.186
1044968400000,0.149
1044972000000,0.122
1044975600000,0.123
1044979200000,0.111
1044982800000,0.106
1044986400000,0.121
1044990000000,0.165
1044993600000,0.191
1044997200000,0.184
1045000800000,0.169
1045004400000,0.288
1045008000000,0.522
1045011600000,0.651
1045015200000,0.713
1045018800000,0.733
1045022400000,0.729
1045026000000,0.73
1045029600000,0.742
1045033200000,0.737
1045036800000,0.635
1045040400000,0.547
1045044000000,0.515
1045047600000,0.498
1045051200000,0.494
1045054800000,0.495
1045058400000,0.498
1045062000000,0.497
1045065600000,0.502
1045069200000,0.524
1045072800000,0.538
1045076400000,0.538
1045080000000,0.544
1045083600000,0.548
1045087200000,0.54
1045090800000,0.661
1045094400000,0.803
1045098000000,0.86
1045101600000,0.885
1045105200000,0.899
1045108800000,0.903
1045112400000,0.904
1045116000000,0.905
1045119600000,0.898
1045123200000,0.87
1045126800000,0.799
1045130400000,0.731
1045134000000,0.665
1045137600000,0.532
1045141200000,0.43
1045144800000,0.393
1045148400000,0.386
1045152000000,0.425
1045155600000,0.472
1045159200000,0.488
1045162800000,0.494
1045166400000,0.507
1045170000000,0.535
1045173600000,0.557
1045177200000,0.725
1045180800000,0.86
1045184400000,0.898
1045188000000,0.92
1045191600000,0.932
1045195200000,0.93
1045198800000,0.926
1045202400000,0.921
1045206000000,0.906
1045209600000,0.861
1045213200000,0.751
1045216800000,0.684
1045220400000,0.658
1045224000000,0.633
1045227600000,0.603
1045231200000,0.557
1045234800000,0.502
1045238400000,0.46
1045242000000,0.494
1045245600000,0.562
1045249200000,0.611
1045252800000,0.649
1045256400000,0.682
1045260000000,0.714
1045263600000,0.779
1045267200000,0.869
1045270800000,0.906
1045274400000,0.919
1045278000000,0.916
1045281600000,0.902
1045285200000,0.885
1045288800000,0.865
1045292400000,0.843
1045296000000,0.791
1045299600000,0.699
1045303200000,0.605
1045306800000,0.51
1045310400000,0.447
1045314000000,0.4
1045317600000,0.376
1045321200000,0.376
1045324800000,0.387
1045328400000,0.4
1045332000000,0.391
1045335600000,0.376
1045339200000,0.383
1045342800000,0.395
1045346400000,0.38
1045350000000,0.503
1045353600000,0.642
1045357200000,0.684
1045360800000,0.671
1045364400000,0.6
1045368000000,0.52
1045371600000,0.459
1045375200000,0.432
1045378800000,0.42
1045382400000,0.374
1045386000000,0.331
1045389600000,0.312
1045393200000,0.314
1045396800000,0.343
1045400400000,0.362
1045404000000,0.38
1045407600000,0.346
1045411200000,0.311
1045414800000,0.302
1045418400000,0.315
1045422000000,0.344
1045425600000,0.398
1045429200000,0.476
1045432800000,0.462
1045436400000,0.494
1045440000000,0.567
1045443600000,0.578
1045447200000,0.579
1045450800000,0.574
1045454400000,0.572
1045458000000,0.559
1045461600000,0.523
1045465200000,0.475
1045468800000,0.381
1045472400000,0.305
1045476000000,0.3
1045479600000,0.343
1045483200000,0.358
1045486800000,0.36
1045490400000,0.329
1045494000000,0.283
1045497600000,0.249
1045501200000,0.252
1045504800000,0.249
1045508400000,0.231
1045512000000,0.241
1045515600000,0.266
1045519200000,0.303
1045522800000,0.441
1045526400000,0.535
1045530000000,0.543
1045533600000,0.499
1045537200000,0.454
1045540800000,0.429
1045544400000,0.413
1045548000000,0.414
1045551600000,0.422
1045555200000,0.401
1045558800000,0.362
1045562400000,0.334
1045566000000,0.311
1045569600000,0.278
1045573200000,0.262
1045576800000,0.233
1045580400000,0.201
1045584000000,0.187
1045587600000,0.203
1045591200000,0.239
1045594800000,0.278
1045598400000,0.286
1045602000000,0.302
1045605600000,0.317
1045609200000,0.415
1045612800000,0.51
1045616400000,0.488
1045620000000,0.442
1045623600000,0.39
1045627200000,0.348
1045630800000,0.343
1045634400000,0.352
1045638000000,0.349
1045641600000,0.329
1045645200000,0.282
1045648800000,0.252
1045652400000,0.294
1045656000000,0.318
1045659600000,0.351
1045663200000,0.391
1045666800000,0.376
1045670400000,0.334
1045674000000,0.34
1045677600000,0.341
1045681200000,0.325
1045684800000,0.329
1045688400000,0.355
1045692000000,0.364
1045695600000,0.457
1045699200000,0.556
1045702800000,0.586
1045706400000,0.599
1045710000000,0.619
1045713600000,0.651
1045717200000,0.668
1045720800000,0.655
1045724400000,0.635
1045728000000,0.586
1045731600000,0.542
1045735200000,0.538
1045738800000,0.538
1045742400000,0.529
1045746000000,0.531
1045749600000,0.516
1045753200000,0.478
1045756800000,0.449
1045760400000,0.443
1045764000000,0.459
1045767600000,0.472
1045771200000,0.488
1045774800000,0.516
1045778400000,0.531
1045782000000,0.621
1045785600000,0.752
1045789200000,0.802
1045792800000,0.795
1045796400000,0.776
1045800000000,0.766
1045803600000,0.774
1045807200000,0.779
1045810800000,0.772
1045814400000,0.729
1045818000000,0.658
1045821600000,0.58
1045825200000,0.541
1045828800000,0.518
1045832400000,0.477
1045836000000,0.434
1045839600000,0.401
1045843200000,0.422
1045846800000,0.476
1045850400000,0.429
1045854000000,0.397
1045857600000,0.392
1045861200000,0.4
1045864800000,0.4
1045868400000,0.559
1045872000000,0.665
1045875600000,0.661
1045879200000,0.635
1045882800000,0.586
1045886400000,0.542
1045890000000,0.521
1045893600000,0.513
1045897200000,0.526
1045900800000,0.523
1045904400000,0.529
1045908000000,0.552
1045911600000,0.554
1045915200000,0.535
1045918800000,0.495
1045922400000,0.447
1045926000000,0.39
1045929600000,0.349
1045933200000,0.352
1045936800000,0.379
1045940400000,0.413
1045944000000,0.442
1045947600000,0.471
1045951200000,0.464
1045954800000,0.457
1045958400000,0.492
1045962000000,0.464
1045965600000,0.418
1045969200000,0.345
1045972800000,0.294
1045976400000,0.274
1045980000000,0.264
1045983600000,0.264
1045987200000,0.263
1045990800000,0.303
1045994400000,0.355
1045998000000,0.388
1046001600000,0.402
1046005200000,0.406
1046008800000,0.41
1046012400000,0.398
1046016000000,0.379
1046019600000,0.378
1046023200000,0.384
1046026800000,0.381
1046030400000,0.376
1046034000000,0.382
1046037600000,0.378
1046041200000,0.352
1046044800000,0.343
1046048400000,0.323
1046052000000,0.289
1046055600000,0.243
1046059200000,0.202
1046062800000,0.177
1046066400000,0.163
1046070000000,0.166
1046073600000,0.179
1046077200000,0.239
1046080800000,0.32
1046084400000,0.392
1046088000000,0.455
1046091600000,0.507
1046095200000,0.536
1046098800000,0.526
1046102400000,0.513
1046106000000,0.491
1046109600000,0.476
1046113200000,0.467
1046116800000,0.463
1046120400000,0.476
1046124000000,0.483
1046127600000,0.47
1046131200000,0.481
1046134800000,0.476
1046138400000,0.459
1046142000000,0.422
1046145600000,0.381
1046149200000,0.364
1046152800000,0.367
1046156400000,0.388
1046160000000,0.415
1046163600000,0.464
1046167200000,0.521
1046170800000,0.532
1046174400000,0.532
1046178000000,0.513
1046181600000,0.502
1046185200000,0.482
1046188800000,0.448
1046192400000,0.42
1046196000000,0.407
1046199600000,0.413
1046203200000,0.431
1046206800000,0.458
1046210400000,0.459
1046214000000,0.517
1046217600000,0.605
1046221200000,0.607
1046224800000,0.581
1046228400000,0.531
1046232000000,0.488
1046235600000,0.476
1046239200000,0.481
