,L1
1579482000000,0.283
1579485600000,0.241
1579489200000,0.245
1579492800000,0.312
1579496400000,0.417
1579500000000,0.532
1579503600000,0.61
1579507200000,0.62
1579510800000,0.64
1579514400000,0.624
1579518000000,0.62
1579521600000,0.575
1579525200000,0.527
1579528800000,0.5
1579532400000,0.501
1579536000000,0.516
1579539600000,0.53
1579543200000,0.525
1579546800000,0.533
1579550400000,0.544
1579554000000,0.538
1579557600000,0.525
1579561200000,0.479
1579564800000,0.541
1579568400000,0.566
1579572000000,0.525
1579575600000,0.538
1579579200000,0.581
1579582800000,0.63
1579586400000,0.7
1579590000000,0.758
1579593600000,0.794
1579597200000,0.794
1579600800000,0.772
1579604400000,0.734
1579608000000,0.683
1579611600000,0.614
1579615200000,0.544
1579618800000,0.534
1579622400000,0.551
1579626000000,0.569
1579629600000,0.606
1579633200000,0.655
1579636800000,0.72
1579640400000,0.734
1579644000000,0.672
1579647600000,0.538
1579651200000,0.468
1579654800000,0.481
1579658400000,0.302
1579662000000,0.239
1579665600000,0.356
1579669200000,0.402
1579672800000,0.294
1579676400000,0.206
1579680000000,0.218
1579683600000,0.337
1579687200000,0.372
1579690800000,0.406
1579694400000,0.459
1579698000000,0.475
1579701600000,0.491
1579705200000,0.532
1579708800000,0.483
1579712400000,0.416
1579716000000,0.436
1579719600000,0.444
1579723200000,0.435
1579726800000,0.396
1579730400000,0.359
1579734000000,0.253
1579737600000,0.228
1579741200000,0.238
1579744800000,0.168
1579748400000,0.141
1579752000000,0.148
1579755600000,0.155
1579759200000,0.203
1579762800000,0.284
1579766400000,0.395
1579770000000,0.491
1579773600000,0.543
1579777200000,0.558
1579780800000,0.513
1579784400000,0.465
1579788000000,0.407
1579791600000,0.355
1579795200000,0.305
1579798800000,0.285
1579802400000,0.28
1579806000000,0.255
1579809600000,0.226
1579813200000,0.203
1579816800000,0.212
1579820400000,0.2
1579824000000,0.243
1579827600000,0.27
1579831200000,0.256
1579834800000,0.274
1579838400000,0.323
1579842000000,0.415
1579845600000,0.55
1579849200000,0.648
1579852800000,0.664
1579856400000,0.63
1579860000000,0.599
1579863600000,0.595
1579867200000,0.601
1579870800000,0.618
1579874400000,0.618
1579878000000,0.632
1579881600000,0.635
1579885200000,0.625
1579888800000,0.616
1579892400000,0.628
1579896000000,0.637
1579899600000,0.598
1579903200000,0.563
1579906800000,0.484
1579910400000,0.482
1579914000000,0.442
1579917600000,0.364
1579921200000,0.341
1579924800000,0.368
1579928400000,0.42
1579932000000,0.482
1579935600000,0.536
1579939200000,0.576
1579942800000,0.516
1579946400000,0.438
1579950000000,0.418
1579953600000,0.42
1579957200000,0.388
1579960800000,0.337
1579964400000,0.352
1579968000000,0.352
1579971600000,0.32
1579975200000,0.283
1579978800000,0.245
1579982400000,0.229
1579986000000,0.223
1579989600000,0.203
1579993200000,0.144
1579996800000,0.137
1580000400000,0.161
1580004000000,0.159
1580007600000,0.209
1580011200000,0.27
1580014800000,0.296
1580018400000,0.294
1580022000000,0.262
1580025600000,0.201
1580029200000,0.18
1580032800000,0.212
1580036400000,0.22
1580040000000,0.187
1580043600000,0.168
1580047200000,0.212
1580050800000,0.257
1580054400000,0.256
1580058000000,0.257
1580061600000,0.275
1580065200000,0.302
1580068800000,0.319
1580072400000,0.311
1580076000000,0.254
1580079600000,0.146
1580083200000,0.085
1580086800000,0.047
1580090400000,0.038
1580094000000,0.058
1580097600000,0.096
1580101200000,0.144
1580104800000,0.223
1580108400000,0.305
1580112000000,0.334
1580115600000,0.302
1580119200000,0.298
1580122800000,0.308
1580126400000,0.294
1580130000000,0.268
1580133600000,0.206
1580137200000,0.153
1580140800000,0.12
1580144400000,0.086
1580148000000,0.04
1580151600000,0.012
1580155200000,0.002
1580158800000,0.001
1580162400000,0.0
1580166000000,0.0
1580169600000,0.0
1580173200000,0.0
1580176800000,0.001
1580180400000,0.007
1580184000000,0.025
1580187600000,0.065
1580191200000,0.118
1580194800000,0.156
1580198400000,0.167
1580202000000,0.192
1580205600000,0.21
1580209200000,0.242
1580212800000,0.294
1580216400000,0.318
1580220000000,0.323
1580223600000,0.334
1580227200000,0.351
1580230800000,0.372
1580234400000,0.415
1580238000000,0.484
1580241600000,0.551
1580245200000,0.586
1580248800000,0.599
1580252400000,0.586
1580256000000,0.591
1580259600000,0.618
1580263200000,0.643
1580266800000,0.734
1580270400000,0.811
1580274000000,0.781
1580277600000,0.668
1580281200000,0.466
1580284800000,0.334
1580288400000,0.352
1580292000000,0.388
1580295600000,0.38
1580299200000,0.365
1580302800000,0.354
1580306400000,0.337
1580310000000,0.311
1580313600000,0.303
1580317200000,0.346
1580320800000,0.397
1580324400000,0.42
1580328000000,0.432
1580331600000,0.448
1580335200000,0.445
1580338800000,0.381
1580342400000,0.381
1580346000000,0.376
1580349600000,0.362
1580353200000,0.357
1580356800000,0.367
1580360400000,0.403
1580364000000,0.441
1580367600000,0.45
1580371200000,0.433
1580374800000,0.429
1580378400000,0.459
1580382000000,0.486
1580385600000,0.491
1580389200000,0.516
1580392800000,0.537
1580396400000,0.55
1580400000000,0.558
1580403600000,0.564
1580407200000,0.576
1580410800000,0.593
1580414400000,0.618
1580418000000,0.609
1580421600000,0.613
1580425200000,0.59
1580428800000,0.583
1580432400000,0.598
1580436000000,0.594
1580439600000,0.603
1580443200000,0.646
1580446800000,0.683
1580450400000,0.712
1580454000000,0.739
1580457600000,0.745
1580461200000,0.728
1580464800000,0.704
1580468400000,0.7
1580472000000,0.692
1580475600000,0.692
1580479200000,0.689
1580482800000,0.697
1580486400000,0.691
1580490000000,0.69
1580493600000,0.694
1580497200000,0.694
1580500800000,0.7
1580504400000,0.697
1580508000000,0.703
1580511600000,0.674
1580515200000,0.667
1580518800000,0.651
1580522400000,0.601
1580526000000,0.584
1580529600000,0.6
1580533200000,0.628
1580536800000,0.661
1580540400000,0.69
1580544000000,0.706
1580547600000,0.692
1580551200000,0.705
1580554800000,0.692
1580558400000,0.677
1580562000000,0.658
1580565600000,0.649
1580569200000,0.663
1580572800000,0.679
1580576400000,0.682
1580580000000,0.677
1580583600000,0.694
1580587200000,0.689
1580590800000,0.683
1580594400000,0.675
1580598000000,0.632
1580601600000,0.655
1580605200000,0.66
1580608800000,0.635
1580612400000,0.623
1580616000000,0.63
1580619600000,0.642
1580623200000,0.656
1580626800000,0.666
1580630400000,0.657
1580634000000,0.633
1580637600000,0.61
1580641200000,0.598
1580644800000,0.581
1580648400000,0.566
1580652000000,0.538
1580655600000,0.55
1580659200000,0.574
1580662800000,0.583
1580666400000,0.599
1580670000000,0.609
1580673600000,0.642
1580677200000,0.64
1580680800000,0.613
1580684400000,0.557
1580688000000,0.561
1580691600000,0.57
1580695200000,0.555
1580698800000,0.52
1580702400000,0.494
1580706000000,0.488
1580709600000,0.503
1580713200000,0.529
1580716800000,0.532
1580720400000,0.535
1580724000000,0.522
1580727600000,0.495
1580731200000,0.486
1580734800000,0.488
1580738400000,0.488
1580742000000,0.496
1580745600000,0.503
1580749200000,0.491
1580752800000,0.484
1580756400000,0.475
1580760000000,0.467
1580763600000,0.428
1580767200000,0.376
1580770800000,0.328
1580774400000,0.337
1580778000000,0.286
1580781600000,0.205
1580785200000,0.152
1580788800000,0.133
1580792400000,0.138
1580796000000,0.157
1580799600000,0.18
1580803200000,0.227
1580806800000,0.305
1580810400000,0.364
1580814000000,0.374
1580817600000,0.349
1580821200000,0.321
1580824800000,0.295
1580828400000,0.302
1580832000000,0.323
1580835600000,0.334
1580839200000,0.345
1580842800000,0.367
1580846400000,0.395
1580850000000,0.425
1580853600000,0.433
1580857200000,0.414
1580860800000,0.438
1580864400000,0.454
1580868000000,0.449
1580871600000,0.476
1580875200000,0.541
1580878800000,0.618
1580882400000,0.689
1580886000000,0.737
1580889600000,0.74
1580893200000,0.722
1580896800000,0.75
1580900400000,0.771
1580904000000,0.777
1580907600000,0.776
1580911200000,0.748
1580914800000,0.768
1580918400000,0.792
1580922000000,0.803
1580925600000,0.813
1580929200000,0.817
1580932800000,0.817
1580936400000,0.802
1580940000000,0.791
1580943600000,0.774
1580947200000,0.82
1580950800000,0.835
1580954400000,0.806
1580958000000,0.785
1580961600000,0.788
1580965200000,0.802
1580968800000,0.822
1580972400000,0.841
1580976000000,0.835
1580979600000,0.806
1580983200000,0.756
1580986800000,0.718
1580990400000,0.666
1580994000000,0.586
1580997600000,0.504
1581001200000,0.448
1581004800000,0.414
1581008400000,0.367
1581012000000,0.345
1581015600000,0.332
1581019200000,0.31
1581022800000,0.286
1581026400000,0.278
1581030000000,0.198
1581033600000,0.194
1581037200000,0.169
1581040800000,0.131
1581044400000,0.128
1581048000000,0.161
1581051600000,0.22
1581055200000,0.295
1581058800000,0.368
1581062400000,0.395
1581066000000,0.379
1581069600000,0.404
1581073200000,0.432
1581076800000,0.432
1581080400000,0.422
1581084000000,0.425
1581087600000,0.462
1581091200000,0.491
1581094800000,0.498
1581098400000,0.512
1581102000000,0.532
1581105600000,0.584
1581109200000,0.649
1581112800000,0.72
1581116400000,0.777
1581120000000,0.839
1581123600000,0.879
1581127200000,0.886
1581130800000,0.899
1581134400000,0.914
1581138000000,0.923
1581141600000,0.929
1581145200000,0.931
1581148800000,0.921
1581152400000,0.903
1581156000000,0.898
1581159600000,0.893
1581163200000,0.88
1581166800000,0.857
1581170400000,0.839
1581174000000,0.844
1581177600000,0.853
1581181200000,0.867
1581184800000,0.878
1581188400000,0.886
1581192000000,0.896
1581195600000,0.896
1581199200000,0.882
1581202800000,0.859
1581206400000,0.86
1581210000000,0.862
1581213600000,0.829
1581217200000,0.808
1581220800000,0.8
1581224400000,0.792
1581228000000,0.792
1581231600000,0.796
1581235200000,0.782
1581238800000,0.758
1581242400000,0.739
1581246000000,0.744
1581249600000,0.766
1581253200000,0.791
1581256800000,0.802
1581260400000,0.8
1581264000000,0.808
1581267600000,0.822
1581271200000,0.823
1581274800000,0.825
1581278400000,0.833
1581282000000,0.824
1581285600000,0.806
1581289200000,0.793
1581292800000,0.829
1581296400000,0.833
1581300000000,0.822
1581303600000,0.833
1581307200000,0.849
1581310800000,0.858
1581314400000,0.864
1581318000000,0.868
1581321600000,0.861
1581325200000,0.821
1581328800000,0.769
1581332400000,0.734
1581336000000,0.706
1581339600000,0.695
1581343200000,0.709
1581346800000,0.701
1581350400000,0.685
1581354000000,0.678
1581357600000,0.663
1581361200000,0.644
1581364800000,0.658
1581368400000,0.627
1581372000000,0.61
1581375600000,0.556
1581379200000,0.618
1581382800000,0.578
1581386400000,0.501
1581390000000,0.46
1581393600000,0.448
1581397200000,0.447
1581400800000,0.464
1581404400000,0.498
1581408000000,0.544
1581411600000,0.61
1581415200000,0.647
1581418800000,0.646
1581422400000,0.641
1581426000000,0.622
1581429600000,0.594
1581433200000,0.59
1581436800000,0.585
1581440400000,0.586
1581444000000,0.587
1581447600000,0.577
1581451200000,0.554
1581454800000,0.502
1581458400000,0.447
1581462000000,0.345
1581465600000,0.466
1581469200000,0.419
1581472800000,0.259
1581476400000,0.137
1581480000000,0.059
1581483600000,0.017
1581487200000,0.009
1581490800000,0.013
1581494400000,0.042
1581498000000,0.1
1581501600000,0.133
1581505200000,0.122
1581508800000,0.12
1581512400000,0.122
1581516000000,0.136
1581519600000,0.159
1581523200000,0.165
1581526800000,0.155
