,N1
1453568400000,0.467
1453572000000,0.481
1453575600000,0.494
1453579200000,0.522
1453582800000,0.514
1453586400000,0.473
1453590000000,0.501
1453593600000,0.505
1453597200000,0.5
1453600800000,0.495
1453604400000,0.51
1453608000000,0.532
1453611600000,0.535
1453615200000,0.516
1453618800000,0.485
1453622400000,0.432
1453626000000,0.291
1453629600000,0.246
1453633200000,0.264
1453636800000,0.294
1453640400000,0.334
1453644000000,0.358
1453647600000,0.376
1453651200000,0.383
1453654800000,0.379
1453658400000,0.41
1453662000000,0.451
1453665600000,0.535
1453669200000,0.624
1453672800000,0.702
1453676400000,0.821
1453680000000,0.918
1453683600000,0.957
1453687200000,0.968
1453690800000,0.974
1453694400000,0.975
1453698000000,0.976
1453701600000,0.976
1453705200000,0.967
1453708800000,0.93
1453712400000,0.891
1453716000000,0.872
1453719600000,0.861
1453723200000,0.859
1453726800000,0.875
1453730400000,0.884
1453734000000,0.886
1453737600000,0.873
1453741200000,0.865
1453744800000,0.867
1453748400000,0.879
1453752000000,0.888
1453755600000,0.886
1453759200000,0.882
1453762800000,0.922
1453766400000,0.959
1453770000000,0.969
1453773600000,0.967
1453777200000,0.964
1453780800000,0.964
1453784400000,0.964
1453788000000,0.959
1453791600000,0.946
1453795200000,0.894
1453798800000,0.804
1453802400000,0.766
1453806000000,0.762
1453809600000,0.75
1453813200000,0.731
1453816800000,0.701
1453820400000,0.684
1453824000000,0.675
1453827600000,0.663
1453831200000,0.655
1453834800000,0.683
1453838400000,0.726
1453842000000,0.738
1453845600000,0.727
1453849200000,0.77
1453852800000,0.86
1453856400000,0.897
1453860000000,0.906
1453863600000,0.915
1453867200000,0.921
1453870800000,0.919
1453874400000,0.908
1453878000000,0.885
1453881600000,0.783
1453885200000,0.635
1453888800000,0.616
1453892400000,0.662
1453896000000,0.703
1453899600000,0.706
1453903200000,0.713
1453906800000,0.706
1453910400000,0.676
1453914000000,0.65
1453917600000,0.635
1453921200000,0.648
1453924800000,0.666
1453928400000,0.657
1453932000000,0.633
1453935600000,0.61
1453939200000,0.765
1453942800000,0.852
1453946400000,0.876
1453950000000,0.897
1453953600000,0.907
1453957200000,0.897
1453960800000,0.88
1453964400000,0.862
1453968000000,0.777
1453971600000,0.634
1453975200000,0.513
1453978800000,0.556
1453982400000,0.541
1453986000000,0.485
1453989600000,0.381
1453993200000,0.346
1453996800000,0.325
1454000400000,0.291
1454004000000,0.258
1454007600000,0.214
1454011200000,0.18
1454014800000,0.155
1454018400000,0.111
1454022000000,0.085
1454025600000,0.134
1454029200000,0.192
1454032800000,0.202
1454036400000,0.212
1454040000000,0.219
1454043600000,0.223
1454047200000,0.234
1454050800000,0.251
1454054400000,0.244
1454058000000,0.198
1454061600000,0.192
1454065200000,0.196
1454068800000,0.223
1454072400000,0.235
1454076000000,0.219
1454079600000,0.224
1454083200000,0.199
1454086800000,0.185
1454090400000,0.173
1454094000000,0.162
1454097600000,0.147
1454101200000,0.131
1454104800000,0.117
1454108400000,0.157
1454112000000,0.264
1454115600000,0.374
1454119200000,0.432
1454122800000,0.491
1454126400000,0.532
1454130000000,0.538
1454133600000,0.535
1454137200000,0.522
1454140800000,0.449
1454144400000,0.287
1454148000000,0.249
1454151600000,0.263
1454155200000,0.273
1454158800000,0.265
1454162400000,0.233
1454166000000,0.201
1454169600000,0.208
1454173200000,0.245
1454176800000,0.267
1454180400000,0.258
1454184000000,0.267
1454187600000,0.278
1454191200000,0.278
1454194800000,0.433
1454198400000,0.594
1454202000000,0.694
1454205600000,0.751
1454209200000,0.781
1454212800000,0.795
1454216400000,0.809
1454220000000,0.816
1454223600000,0.812
1454227200000,0.741
1454230800000,0.628
1454234400000,0.629
1454238000000,0.657
1454241600000,0.638
1454245200000,0.547
1454248800000,0.485
1454252400000,0.43
1454256000000,0.398
1454259600000,0.41
1454263200000,0.45
1454266800000,0.481
1454270400000,0.519
1454274000000,0.552
1454277600000,0.561
1454281200000,0.627
1454284800000,0.756
1454288400000,0.826
1454292000000,0.858
1454295600000,0.867
1454299200000,0.875
1454302800000,0.873
1454306400000,0.861
1454310000000,0.838
1454313600000,0.735
1454317200000,0.588
1454320800000,0.547
1454324400000,0.513
1454328000000,0.448
1454331600000,0.436
1454335200000,0.43
1454338800000,0.436
1454342400000,0.481
1454346000000,0.484
1454349600000,0.487
1454353200000,0.49
1454356800000,0.501
1454360400000,0.491
1454364000000,0.476
1454367600000,0.571
1454371200000,0.71
1454374800000,0.765
1454378400000,0.771
1454382000000,0.777
1454385600000,0.77
1454389200000,0.752
1454392800000,0.73
1454396400000,0.69
1454400000000,0.613
1454403600000,0.492
1454407200000,0.513
1454410800000,0.55
1454414400000,0.54
1454418000000,0.479
1454421600000,0.432
1454425200000,0.413
1454428800000,0.398
1454432400000,0.376
1454436000000,0.369
1454439600000,0.352
1454443200000,0.379
1454446800000,0.391
1454450400000,0.35
1454454000000,0.432
1454457600000,0.524
1454461200000,0.529
1454464800000,0.488
1454468400000,0.47
1454472000000,0.464
1454475600000,0.457
1454479200000,0.453
1454482800000,0.444
1454486400000,0.41
1454490000000,0.3
1454493600000,0.278
1454497200000,0.291
1454500800000,0.305
1454504400000,0.331
1454508000000,0.28
1454511600000,0.274
1454515200000,0.311
1454518800000,0.336
1454522400000,0.328
1454526000000,0.337
1454529600000,0.343
1454533200000,0.323
1454536800000,0.284
1454540400000,0.362
1454544000000,0.379
1454547600000,0.361
1454551200000,0.341
1454554800000,0.358
1454558400000,0.381
1454562000000,0.39
1454565600000,0.386
1454569200000,0.374
1454572800000,0.35
1454576400000,0.235
1454580000000,0.167
1454583600000,0.147
1454587200000,0.164
1454590800000,0.167
1454594400000,0.182
1454598000000,0.17
1454601600000,0.147
1454605200000,0.157
1454608800000,0.154
1454612400000,0.156
1454616000000,0.161
1454619600000,0.14
1454623200000,0.099
1454626800000,0.106
1454630400000,0.124
1454634000000,0.126
1454637600000,0.117
1454641200000,0.133
1454644800000,0.158
1454648400000,0.178
1454652000000,0.194
1454655600000,0.207
1454659200000,0.209
1454662800000,0.172
1454666400000,0.162
1454670000000,0.152
1454673600000,0.145
1454677200000,0.161
1454680800000,0.192
1454684400000,0.228
1454688000000,0.21
1454691600000,0.205
1454695200000,0.226
1454698800000,0.211
1454702400000,0.185
1454706000000,0.129
1454709600000,0.058
1454713200000,0.02
1454716800000,0.012
1454720400000,0.013
1454724000000,0.017
1454727600000,0.024
1454731200000,0.03
1454734800000,0.033
1454738400000,0.039
1454742000000,0.06
1454745600000,0.103
1454749200000,0.167
1454752800000,0.199
1454756400000,0.18
1454760000000,0.15
1454763600000,0.14
1454767200000,0.181
1454770800000,0.246
1454774400000,0.283
1454778000000,0.341
1454781600000,0.425
1454785200000,0.454
1454788800000,0.476
1454792400000,0.464
1454796000000,0.418
1454799600000,0.45
1454803200000,0.484
1454806800000,0.461
1454810400000,0.403
1454814000000,0.375
1454817600000,0.364
1454821200000,0.347
1454824800000,0.337
1454828400000,0.346
1454832000000,0.358
1454835600000,0.32
1454839200000,0.349
1454842800000,0.454
1454846400000,0.555
1454850000000,0.634
1454853600000,0.645
1454857200000,0.648
1454860800000,0.617
1454864400000,0.568
1454868000000,0.546
1454871600000,0.538
1454875200000,0.541
1454878800000,0.539
1454882400000,0.523
1454886000000,0.625
1454889600000,0.754
1454893200000,0.797
1454896800000,0.805
1454900400000,0.817
1454904000000,0.826
1454907600000,0.831
1454911200000,0.841
1454914800000,0.842
1454918400000,0.796
1454922000000,0.665
1454925600000,0.65
1454929200000,0.655
1454932800000,0.625
1454936400000,0.596
1454940000000,0.583
1454943600000,0.571
1454947200000,0.546
1454950800000,0.51
1454954400000,0.494
1454958000000,0.491
1454961600000,0.503
1454965200000,0.501
1454968800000,0.464
1454972400000,0.522
1454976000000,0.613
1454979600000,0.61
1454983200000,0.57
1454986800000,0.561
1454990400000,0.568
1454994000000,0.572
1454997600000,0.583
1455001200000,0.591
1455004800000,0.581
1455008400000,0.515
1455012000000,0.491
1455015600000,0.516
1455019200000,0.541
1455022800000,0.454
1455026400000,0.447
1455030000000,0.451
1455033600000,0.472
1455037200000,0.491
1455040800000,0.514
1455044400000,0.55
1455048000000,0.586
1455051600000,0.572
1455055200000,0.551
1455058800000,0.638
1455062400000,0.73
1455066000000,0.756
1455069600000,0.75
1455073200000,0.754
1455076800000,0.751
1455080400000,0.746
1455084000000,0.738
1455087600000,0.728
1455091200000,0.699
1455094800000,0.543
1455098400000,0.494
1455102000000,0.516
1455105600000,0.5
1455109200000,0.491
1455112800000,0.49
1455116400000,0.496
1455120000000,0.506
1455123600000,0.513
1455127200000,0.516
1455130800000,0.515
1455134400000,0.526
1455138000000,0.552
1455141600000,0.562
1455145200000,0.717
1455148800000,0.786
1455152400000,0.799
1455156000000,0.783
1455159600000,0.789
1455163200000,0.809
1455166800000,0.824
1455170400000,0.835
1455174000000,0.834
1455177600000,0.806
1455181200000,0.669
1455184800000,0.599
1455188400000,0.568
1455192000000,0.526
1455195600000,0.505
1455199200000,0.5
1455202800000,0.477
1455206400000,0.492
1455210000000,0.508
1455213600000,0.504
1455217200000,0.505
1455220800000,0.519
1455224400000,0.523
1455228000000,0.509
1455231600000,0.601
1455235200000,0.606
1455238800000,0.58
1455242400000,0.555
1455246000000,0.54
1455249600000,0.538
1455253200000,0.544
1455256800000,0.547
1455260400000,0.532
1455264000000,0.491
1455267600000,0.373
1455271200000,0.297
1455274800000,0.294
1455278400000,0.346
1455282000000,0.398
1455285600000,0.403
1455289200000,0.379
1455292800000,0.377
1455296400000,0.377
1455300000000,0.348
1455303600000,0.348
1455307200000,0.341
1455310800000,0.322
1455314400000,0.307
1455318000000,0.376
1455321600000,0.394
1455325200000,0.388
1455328800000,0.37
1455332400000,0.367
1455336000000,0.367
1455339600000,0.358
1455343200000,0.354
1455346800000,0.361
1455350400000,0.358
1455354000000,0.292
1455357600000,0.264
1455361200000,0.261
1455364800000,0.277
1455368400000,0.296
1455372000000,0.311
1455375600000,0.31
1455379200000,0.315
1455382800000,0.339
1455386400000,0.357
1455390000000,0.367
1455393600000,0.354
1455397200000,0.314
1455400800000,0.231
1455404400000,0.265
1455408000000,0.289
1455411600000,0.282
1455415200000,0.27
1455418800000,0.266
1455422400000,0.27
1455426000000,0.265
1455429600000,0.26
1455433200000,0.252
1455436800000,0.234
1455440400000,0.194
1455444000000,0.192
1455447600000,0.188
1455451200000,0.207
1455454800000,0.228
1455458400000,0.227
1455462000000,0.228
1455465600000,0.248
1455469200000,0.253
1455472800000,0.266
1455476400000,0.278
1455480000000,0.272
1455483600000,0.242
1455487200000,0.212
1455490800000,0.278
1455494400000,0.334
1455498000000,0.345
1455501600000,0.323
1455505200000,0.323
1455508800000,0.337
1455512400000,0.337
1455516000000,0.332
1455519600000,0.332
1455523200000,0.343
1455526800000,0.311
1455530400000,0.288
1455534000000,0.298
1455537600000,0.34
1455541200000,0.383
1455544800000,0.425
1455548400000,0.416
1455552000000,0.444
1455555600000,0.463
1455559200000,0.494
1455562800000,0.548
1455566400000,0.566
1455570000000,0.557
1455573600000,0.501
1455577200000,0.599
1455580800000,0.645
1455584400000,0.663
1455588000000,0.672
1455591600000,0.674
1455595200000,0.668
1455598800000,0.638
1455602400000,0.604
