,Mn2
885560400000,0.148
885564000000,0.132
885567600000,0.119
885571200000,0.104
885574800000,0.089
885578400000,0.084
885582000000,0.09
885585600000,0.11
885589200000,0.111
885592800000,0.078
885596400000,0.06
885600000000,0.058
885603600000,0.061
885607200000,0.08
885610800000,0.102
885614400000,0.118
885618000000,0.14
885621600000,0.171
885625200000,0.211
885628800000,0.252
885632400000,0.28
885636000000,0.297
885639600000,0.269
885643200000,0.245
885646800000,0.234
885650400000,0.253
885654000000,0.245
885657600000,0.24
885661200000,0.25
885664800000,0.281
885668400000,0.293
885672000000,0.311
885675600000,0.302
885679200000,0.233
885682800000,0.237
885686400000,0.313
885690000000,0.332
885693600000,0.334
885697200000,0.365
885700800000,0.41
885704400000,0.449
885708000000,0.497
885711600000,0.556
885715200000,0.62
885718800000,0.643
885722400000,0.635
885726000000,0.637
885729600000,0.621
885733200000,0.598
885736800000,0.559
885740400000,0.498
885744000000,0.407
885747600000,0.379
885751200000,0.37
885754800000,0.374
885758400000,0.353
885762000000,0.32
885765600000,0.305
885769200000,0.507
885772800000,0.605
885776400000,0.61
885780000000,0.58
885783600000,0.557
885787200000,0.541
885790800000,0.532
885794400000,0.529
885798000000,0.535
885801600000,0.537
885805200000,0.497
885808800000,0.47
885812400000,0.451
885816000000,0.359
885819600000,0.302
885823200000,0.299
885826800000,0.315
885830400000,0.339
885834000000,0.351
885837600000,0.367
885841200000,0.391
885844800000,0.402
885848400000,0.386
885852000000,0.326
885855600000,0.471
885859200000,0.538
885862800000,0.459
885866400000,0.343
885870000000,0.25
885873600000,0.191
885877200000,0.159
885880800000,0.157
885884400000,0.185
885888000000,0.238
885891600000,0.272
885895200000,0.253
885898800000,0.226
885902400000,0.233
885906000000,0.265
885909600000,0.281
885913200000,0.278
885916800000,0.253
885920400000,0.248
885924000000,0.245
885927600000,0.251
885931200000,0.278
885934800000,0.3
885938400000,0.264
885942000000,0.469
885945600000,0.607
885949200000,0.529
885952800000,0.419
885956400000,0.347
885960000000,0.29
885963600000,0.237
885967200000,0.206
885970800000,0.219
885974400000,0.276
885978000000,0.355
885981600000,0.414
885985200000,0.432
885988800000,0.376
885992400000,0.337
885996000000,0.313
885999600000,0.28
886003200000,0.272
886006800000,0.27
886010400000,0.328
886014000000,0.405
886017600000,0.483
886021200000,0.58
886024800000,0.655
886028400000,0.816
886032000000,0.854
886035600000,0.848
886039200000,0.834
886042800000,0.822
886046400000,0.808
886050000000,0.796
886053600000,0.79
886057200000,0.789
886060800000,0.793
886064400000,0.744
886068000000,0.679
886071600000,0.644
886075200000,0.638
886078800000,0.623
886082400000,0.593
886086000000,0.545
886089600000,0.501
886093200000,0.464
886096800000,0.422
886100400000,0.413
886104000000,0.431
886107600000,0.444
886111200000,0.402
886114800000,0.613
886118400000,0.668
886122000000,0.55
886125600000,0.416
886129200000,0.324
886132800000,0.277
886136400000,0.27
886140000000,0.287
886143600000,0.328
886147200000,0.379
886150800000,0.419
886154400000,0.518
886158000000,0.586
886161600000,0.576
886165200000,0.541
886168800000,0.498
886172400000,0.45
886176000000,0.413
886179600000,0.332
886183200000,0.289
886186800000,0.261
886190400000,0.226
886194000000,0.184
886197600000,0.126
886201200000,0.176
886204800000,0.193
886208400000,0.148
886212000000,0.101
886215600000,0.083
886219200000,0.087
886222800000,0.099
886226400000,0.111
886230000000,0.122
886233600000,0.133
886237200000,0.12
886240800000,0.088
886244400000,0.062
886248000000,0.053
886251600000,0.055
886255200000,0.064
886258800000,0.095
886262400000,0.132
886266000000,0.155
886269600000,0.175
886273200000,0.193
886276800000,0.217
886280400000,0.218
886284000000,0.179
886287600000,0.272
886291200000,0.282
886294800000,0.203
886298400000,0.13
886302000000,0.084
886305600000,0.064
886309200000,0.054
886312800000,0.053
886316400000,0.067
886320000000,0.109
886323600000,0.167
886327200000,0.167
886330800000,0.145
886334400000,0.155
886338000000,0.163
886341600000,0.17
886345200000,0.223
886348800000,0.239
886352400000,0.235
886356000000,0.23
886359600000,0.241
886363200000,0.244
886366800000,0.248
886370400000,0.193
886374000000,0.251
886377600000,0.295
886381200000,0.278
886384800000,0.243
886388400000,0.204
886392000000,0.19
886395600000,0.204
886399200000,0.225
886402800000,0.248
886406400000,0.263
886410000000,0.264
886413600000,0.264
886417200000,0.328
886420800000,0.332
886424400000,0.308
886428000000,0.313
886431600000,0.291
886435200000,0.284
886438800000,0.282
886442400000,0.295
886446000000,0.338
886449600000,0.335
886453200000,0.325
886456800000,0.341
886460400000,0.55
886464000000,0.574
886467600000,0.505
886471200000,0.423
886474800000,0.346
886478400000,0.282
886482000000,0.238
886485600000,0.216
886489200000,0.201
886492800000,0.21
886496400000,0.223
886500000000,0.191
886503600000,0.294
886507200000,0.361
886510800000,0.391
886514400000,0.422
886518000000,0.386
886521600000,0.308
886525200000,0.294
886528800000,0.27
886532400000,0.237
886536000000,0.199
886539600000,0.179
886543200000,0.155
886546800000,0.258
886550400000,0.273
886554000000,0.209
886557600000,0.151
886561200000,0.1
886564800000,0.062
886568400000,0.048
886572000000,0.051
886575600000,0.068
886579200000,0.106
886582800000,0.177
886586400000,0.178
886590000000,0.209
886593600000,0.281
886597200000,0.307
886600800000,0.302
886604400000,0.305
886608000000,0.306
886611600000,0.282
886615200000,0.244
886618800000,0.251
886622400000,0.233
886626000000,0.201
886629600000,0.141
886633200000,0.136
886636800000,0.096
886640400000,0.056
886644000000,0.032
886647600000,0.017
886651200000,0.01
886654800000,0.006
886658400000,0.005
886662000000,0.005
886665600000,0.004
886669200000,0.005
886672800000,0.017
886676400000,0.038
886680000000,0.054
886683600000,0.053
886687200000,0.054
886690800000,0.05
886694400000,0.043
886698000000,0.033
886701600000,0.024
886705200000,0.024
886708800000,0.032
886712400000,0.05
886716000000,0.059
886719600000,0.058
886723200000,0.049
886726800000,0.04
886730400000,0.024
886734000000,0.009
886737600000,0.003
886741200000,0.002
886744800000,0.003
886748400000,0.005
886752000000,0.008
886755600000,0.012
886759200000,0.01
