,V1
664815600000,0.568
664819200000,0.572
664822800000,0.587
664826400000,0.583
664830000000,0.59
664833600000,0.599
664837200000,0.59
664840800000,0.544
664844400000,0.654
664848000000,0.752
664851600000,0.752
664855200000,0.706
664858800000,0.656
664862400000,0.624
664866000000,0.601
664869600000,0.592
664873200000,0.59
664876800000,0.564
664880400000,0.491
664884000000,0.457
664887600000,0.468
664891200000,0.501
664894800000,0.485
664898400000,0.484
664902000000,0.488
664905600000,0.468
664909200000,0.44
664912800000,0.454
664916400000,0.447
664920000000,0.439
664923600000,0.442
664927200000,0.422
664930800000,0.607
664934400000,0.748
664938000000,0.768
664941600000,0.742
664945200000,0.701
664948800000,0.654
664952400000,0.618
664956000000,0.603
664959600000,0.6
664963200000,0.597
664966800000,0.523
664970400000,0.469
664974000000,0.479
664977600000,0.495
664981200000,0.528
664984800000,0.538
664988400000,0.517
664992000000,0.501
664995600000,0.489
664999200000,0.487
665002800000,0.507
665006400000,0.547
665010000000,0.556
665013600000,0.499
665017200000,0.621
665020800000,0.666
665024400000,0.642
665028000000,0.599
665031600000,0.56
665035200000,0.538
665038800000,0.523
665042400000,0.51
665046000000,0.484
665049600000,0.434
665053200000,0.332
665056800000,0.265
665060400000,0.251
665064000000,0.257
665067600000,0.267
665071200000,0.273
665074800000,0.278
665078400000,0.278
665082000000,0.278
665085600000,0.289
665089200000,0.305
665092800000,0.341
665096400000,0.367
665100000000,0.36
665103600000,0.469
665107200000,0.566
665110800000,0.558
665114400000,0.494
665118000000,0.425
665121600000,0.38
665125200000,0.359
665128800000,0.358
665132400000,0.382
665136000000,0.413
665139600000,0.367
665143200000,0.339
665146800000,0.302
665150400000,0.297
665154000000,0.288
665157600000,0.289
665161200000,0.321
665164800000,0.384
665168400000,0.437
665172000000,0.481
665175600000,0.494
665179200000,0.484
665182800000,0.433
665186400000,0.366
665190000000,0.386
665193600000,0.391
665197200000,0.354
665200800000,0.317
665204400000,0.324
665208000000,0.367
665211600000,0.397
665215200000,0.395
665218800000,0.379
665222400000,0.347
665226000000,0.278
665229600000,0.252
665233200000,0.234
665236800000,0.224
665240400000,0.213
665244000000,0.216
665247600000,0.224
665251200000,0.232
665254800000,0.249
665258400000,0.259
665262000000,0.289
665265600000,0.314
665269200000,0.311
665272800000,0.27
665276400000,0.316
665280000000,0.347
665283600000,0.331
665287200000,0.292
665290800000,0.282
665294400000,0.294
665298000000,0.305
665301600000,0.315
665305200000,0.325
665308800000,0.329
665312400000,0.308
665316000000,0.282
665319600000,0.229
665323200000,0.209
665326800000,0.22
665330400000,0.235
665334000000,0.234
665337600000,0.211
665341200000,0.176
665344800000,0.155
665348400000,0.161
665352000000,0.194
665355600000,0.207
665359200000,0.191
665362800000,0.218
665366400000,0.207
665370000000,0.179
665373600000,0.15
665377200000,0.121
665380800000,0.095
665384400000,0.082
665388000000,0.08
665391600000,0.086
665395200000,0.093
665398800000,0.11
665402400000,0.132
665406000000,0.136
665409600000,0.135
665413200000,0.141
665416800000,0.162
665420400000,0.181
665424000000,0.179
665427600000,0.157
665431200000,0.147
665434800000,0.155
