,N1
696312000000,0.693
696315600000,0.632
696319200000,0.521
696322800000,0.357
696326400000,0.153
696330000000,0.001
696333600000,0.0
696337200000,0.0
696340800000,0.0
696344400000,0.0
696348000000,0.0
696351600000,0.0
696355200000,0.0
696358800000,0.0
696362400000,0.0
696366000000,0.0
696369600000,0.0
696373200000,0.0
696376800000,0.039
696380400000,0.219
696384000000,0.44
696387600000,0.583
696391200000,0.662
696394800000,0.689
696398400000,0.669
696402000000,0.572
696405600000,0.456
696409200000,0.29
696412800000,0.102
696416400000,0.0
696420000000,0.0
696423600000,0.0
696427200000,0.0
696430800000,0.0
696434400000,0.0
696438000000,0.0
696441600000,0.0
696445200000,0.0
696448800000,0.0
696452400000,0.0
696456000000,0.0
696459600000,0.0
696463200000,0.031
696466800000,0.193
696470400000,0.34
696474000000,0.46
696477600000,0.539
696481200000,0.586
696484800000,0.622
696488400000,0.588
696492000000,0.484
696495600000,0.334
696499200000,0.15
696502800000,0.002
696506400000,0.0
696510000000,0.0
696513600000,0.0
696517200000,0.0
696520800000,0.0
696524400000,0.0
696528000000,0.0
696531600000,0.0
696535200000,0.0
696538800000,0.0
696542400000,0.0
696546000000,0.0
696549600000,0.044
696553200000,0.24
696556800000,0.441
696560400000,0.58
696564000000,0.668
696567600000,0.705
696571200000,0.694
696574800000,0.635
696578400000,0.531
696582000000,0.353
696585600000,0.155
696589200000,0.003
696592800000,0.0
696596400000,0.0
696600000000,0.0
696603600000,0.0
696607200000,0.0
696610800000,0.0
696614400000,0.0
696618000000,0.0
696621600000,0.0
696625200000,0.0
696628800000,0.0
696632400000,0.0
696636000000,0.048
696639600000,0.25
696643200000,0.451
696646800000,0.596
696650400000,0.68
696654000000,0.713
696657600000,0.702
696661200000,0.647
696664800000,0.539
696668400000,0.373
696672000000,0.157
696675600000,0.003
696679200000,0.0
696682800000,0.0
696686400000,0.0
696690000000,0.0
696693600000,0.0
696697200000,0.0
696700800000,0.0
696704400000,0.0
696708000000,0.0
696711600000,0.0
696715200000,0.0
696718800000,0.0
696722400000,0.044
696726000000,0.241
696729600000,0.443
696733200000,0.57
696736800000,0.646
696740400000,0.668
696744000000,0.646
696747600000,0.551
696751200000,0.435
696754800000,0.273
696758400000,0.098
696762000000,0.0
696765600000,0.0
696769200000,0.0
696772800000,0.0
696776400000,0.0
696780000000,0.0
696783600000,0.0
696787200000,0.0
696790800000,0.0
696794400000,0.0
696798000000,0.0
696801600000,0.0
696805200000,0.0
696808800000,0.027
696812400000,0.182
696816000000,0.372
696819600000,0.528
696823200000,0.619
696826800000,0.623
696830400000,0.553
696834000000,0.487
696837600000,0.369
696841200000,0.24
