,B1
759276000000,0.076
759279600000,0.27
759283200000,0.44
759286800000,0.57
759290400000,0.66
759294000000,0.704
759297600000,0.696
759301200000,0.635
759304800000,0.524
759308400000,0.355
759312000000,0.15
759315600000,0.0
759319200000,0.0
759322800000,0.0
759326400000,0.0
759330000000,0.0
759333600000,0.0
759337200000,0.0
759340800000,0.0
759344400000,0.0
759348000000,0.0
759351600000,0.0
759355200000,0.0
759358800000,0.0
759362400000,0.086
759366000000,0.296
759369600000,0.475
759373200000,0.594
759376800000,0.682
759380400000,0.699
759384000000,0.702
759387600000,0.63
759391200000,0.467
759394800000,0.322
759398400000,0.137
759402000000,0.0
759405600000,0.0
759409200000,0.0
759412800000,0.0
759416400000,0.0
759420000000,0.0
759423600000,0.0
759427200000,0.0
759430800000,0.0
759434400000,0.0
759438000000,0.0
759441600000,0.0
759445200000,0.0
759448800000,0.082
759452400000,0.298
759456000000,0.484
759459600000,0.614
759463200000,0.697
759466800000,0.721
759470400000,0.697
759474000000,0.63
759477600000,0.515
759481200000,0.348
759484800000,0.143
759488400000,0.0
759492000000,0.0
759495600000,0.0
759499200000,0.0
759502800000,0.0
759506400000,0.0
759510000000,0.0
759513600000,0.0
759517200000,0.0
759520800000,0.0
759524400000,0.0
759528000000,0.0
759531600000,0.0
759535200000,0.05
759538800000,0.223
759542400000,0.415
759546000000,0.564
759549600000,0.654
759553200000,0.693
759556800000,0.681
759560400000,0.617
759564000000,0.496
759567600000,0.323
759571200000,0.122
759574800000,0.0
759578400000,0.0
759582000000,0.0
759585600000,0.0
759589200000,0.0
759592800000,0.0
759596400000,0.0
759600000000,0.0
759603600000,0.0
759607200000,0.0
759610800000,0.0
759614400000,0.0
759618000000,0.0
759621600000,0.084
759625200000,0.298
759628800000,0.481
759632400000,0.607
759636000000,0.688
759639600000,0.723
759643200000,0.709
759646800000,0.644
759650400000,0.53
759654000000,0.368
759657600000,0.163
759661200000,0.001
759664800000,0.0
759668400000,0.0
759672000000,0.0
759675600000,0.0
759679200000,0.0
759682800000,0.0
759686400000,0.0
759690000000,0.0
759693600000,0.0
759697200000,0.0
759700800000,0.0
759704400000,0.0
759708000000,0.076
759711600000,0.274
759715200000,0.479
759718800000,0.61
759722400000,0.69
759726000000,0.713
759729600000,0.706
759733200000,0.644
759736800000,0.532
759740400000,0.366
759744000000,0.145
759747600000,0.001
759751200000,0.0
759754800000,0.0
759758400000,0.0
759762000000,0.0
759765600000,0.0
759769200000,0.0
759772800000,0.0
759776400000,0.0
759780000000,0.0
759783600000,0.0
759787200000,0.0
759790800000,0.0
759794400000,0.088
759798000000,0.295
759801600000,0.469
759805200000,0.623
759808800000,0.71
759812400000,0.739
759816000000,0.731
759819600000,0.662
759823200000,0.528
759826800000,0.38
759830400000,0.142
759834000000,0.0
759837600000,0.0
759841200000,0.0
759844800000,0.0
759848400000,0.0
759852000000,0.0
759855600000,0.0
759859200000,0.0
759862800000,0.0
759866400000,0.0
759870000000,0.0
759873600000,0.0
759877200000,0.0
759880800000,0.05
759884400000,0.269
759888000000,0.476
759891600000,0.624
759895200000,0.709
759898800000,0.74
759902400000,0.713
759906000000,0.634
759909600000,0.518
759913200000,0.326
759916800000,0.136
759920400000,0.0
759924000000,0.0
759927600000,0.0
759931200000,0.0
759934800000,0.0
759938400000,0.0
759942000000,0.0
759945600000,0.0
759949200000,0.0
759952800000,0.0
759956400000,0.0
759960000000,0.0
759963600000,0.0
759967200000,0.073
759970800000,0.274
759974400000,0.461
759978000000,0.591
759981600000,0.664
759985200000,0.683
759988800000,0.67
759992400000,0.589
759996000000,0.454
759999600000,0.283
760003200000,0.088
760006800000,0.0
760010400000,0.0
760014000000,0.0
760017600000,0.0
760021200000,0.0
760024800000,0.0
760028400000,0.0
760032000000,0.0
760035600000,0.0
760039200000,0.0
760042800000,0.0
760046400000,0.0
760050000000,0.0
760053600000,0.044
760057200000,0.165
760060800000,0.252
760064400000,0.335
760068000000,0.415
760071600000,0.404
760075200000,0.433
760078800000,0.359
760082400000,0.256
760086000000,0.16
760089600000,0.062
760093200000,0.0
760096800000,0.0
760100400000,0.0
760104000000,0.0
760107600000,0.0
760111200000,0.0
760114800000,0.0
760118400000,0.0
760122000000,0.0
760125600000,0.0
760129200000,0.0
760132800000,0.0
760136400000,0.0
760140000000,0.011
760143600000,0.066
760147200000,0.136
760150800000,0.206
760154400000,0.262
760158000000,0.286
760161600000,0.273
760165200000,0.231
760168800000,0.176
760172400000,0.093
760176000000,0.031
760179600000,0.0
760183200000,0.0
760186800000,0.0
760190400000,0.0
760194000000,0.0
760197600000,0.0
760201200000,0.0
760204800000,0.0
760208400000,0.0
760212000000,0.0
760215600000,0.0
760219200000,0.0
760222800000,0.0
760226400000,0.036
760230000000,0.146
760233600000,0.256
760237200000,0.354
760240800000,0.414
760244400000,0.428
760248000000,0.416
760251600000,0.331
760255200000,0.244
760258800000,0.125
760262400000,0.031
760266000000,0.0
760269600000,0.0
760273200000,0.0
760276800000,0.0
760280400000,0.0
760284000000,0.0
760287600000,0.0
760291200000,0.0
760294800000,0.0
760298400000,0.0
760302000000,0.0
760305600000,0.0
760309200000,0.0
760312800000,0.05
760316400000,0.223
760320000000,0.406
760323600000,0.55
760327200000,0.623
760330800000,0.629
760334400000,0.674
760338000000,0.62
760341600000,0.516
760345200000,0.353
760348800000,0.141
760352400000,0.0
760356000000,0.0
760359600000,0.0
760363200000,0.0
760366800000,0.0
760370400000,0.0
760374000000,0.0
760377600000,0.0
760381200000,0.0
760384800000,0.0
760388400000,0.0
760392000000,0.0
760395600000,0.0
760399200000,0.052
760402800000,0.222
760406400000,0.384
760410000000,0.505
760413600000,0.564
760417200000,0.565
760420800000,0.521
760424400000,0.432
760428000000,0.295
760431600000,0.162
760435200000,0.053
760438800000,0.0
760442400000,0.0
760446000000,0.0
760449600000,0.0
760453200000,0.0
760456800000,0.0
760460400000,0.0
760464000000,0.0
760467600000,0.0
760471200000,0.0
760474800000,0.0
760478400000,0.0
760482000000,0.0
760485600000,0.046
760489200000,0.195
760492800000,0.358
760496400000,0.49
760500000000,0.579
760503600000,0.601
760507200000,0.596
760510800000,0.545
760514400000,0.439
760518000000,0.294
760521600000,0.121
760525200000,0.0
760528800000,0.0
760532400000,0.0
760536000000,0.0
760539600000,0.0
760543200000,0.0
760546800000,0.0
760550400000,0.0
760554000000,0.0
760557600000,0.0
760561200000,0.0
760564800000,0.0
760568400000,0.0
760572000000,0.093
760575600000,0.314
760579200000,0.511
760582800000,0.65
760586400000,0.732
760590000000,0.763
760593600000,0.747
760597200000,0.682
760600800000,0.566
760604400000,0.396
760608000000,0.179
760611600000,0.004
760615200000,0.0
760618800000,0.0
760622400000,0.0
760626000000,0.0
760629600000,0.0
760633200000,0.0
760636800000,0.0
760640400000,0.0
760644000000,0.0
760647600000,0.0
760651200000,0.0
760654800000,0.0
760658400000,0.087
760662000000,0.3
760665600000,0.5
760669200000,0.64
760672800000,0.72
760676400000,0.748
760680000000,0.729
760683600000,0.662
760687200000,0.544
760690800000,0.374
760694400000,0.167
760698000000,0.004
760701600000,0.0
760705200000,0.0
760708800000,0.0
760712400000,0.0
760716000000,0.0
760719600000,0.0
760723200000,0.0
760726800000,0.0
760730400000,0.0
760734000000,0.0
760737600000,0.0
760741200000,0.0
760744800000,0.079
760748400000,0.274
760752000000,0.469
760755600000,0.619
760759200000,0.704
760762800000,0.718
760766400000,0.693
