,S1
980557200000,0.624
980560800000,0.686
980564400000,0.699
980568000000,0.657
980571600000,0.613
980575200000,0.491
980578800000,0.285
980582400000,0.088
980586000000,0.0
980589600000,0.0
980593200000,0.0
980596800000,0.0
980600400000,0.0
980604000000,0.0
980607600000,0.0
980611200000,0.0
980614800000,0.0
980618400000,0.0
980622000000,0.0
980625600000,0.0
980629200000,0.0
980632800000,0.031
980636400000,0.143
980640000000,0.246
980643600000,0.282
980647200000,0.294
980650800000,0.285
980654400000,0.242
980658000000,0.188
980661600000,0.113
980665200000,0.055
980668800000,0.013
980672400000,0.0
980676000000,0.0
980679600000,0.0
980683200000,0.0
980686800000,0.0
980690400000,0.0
980694000000,0.0
980697600000,0.0
980701200000,0.0
980704800000,0.0
980708400000,0.0
980712000000,0.0
980715600000,0.0
980719200000,0.017
980722800000,0.106
980726400000,0.203
980730000000,0.298
980733600000,0.37
980737200000,0.384
980740800000,0.354
980744400000,0.3
980748000000,0.207
980751600000,0.114
980755200000,0.032
980758800000,0.0
980762400000,0.0
980766000000,0.0
980769600000,0.0
980773200000,0.0
980776800000,0.0
980780400000,0.0
980784000000,0.0
980787600000,0.0
980791200000,0.0
980794800000,0.0
980798400000,0.0
980802000000,0.0
980805600000,0.023
980809200000,0.122
980812800000,0.23
980816400000,0.32
980820000000,0.39
980823600000,0.412
980827200000,0.417
980830800000,0.37
980834400000,0.289
980838000000,0.178
980841600000,0.065
980845200000,0.0
980848800000,0.0
980852400000,0.0
980856000000,0.0
980859600000,0.0
980863200000,0.0
980866800000,0.0
980870400000,0.0
980874000000,0.0
980877600000,0.0
980881200000,0.0
980884800000,0.0
980888400000,0.0
980892000000,0.033
980895600000,0.138
980899200000,0.263
980902800000,0.384
980906400000,0.451
980910000000,0.485
980913600000,0.467
980917200000,0.394
980920800000,0.308
980924400000,0.21
980928000000,0.083
980931600000,0.0
980935200000,0.0
980938800000,0.0
980942400000,0.0
980946000000,0.0
980949600000,0.0
980953200000,0.0
980956800000,0.0
980960400000,0.0
980964000000,0.0
980967600000,0.0
980971200000,0.0
980974800000,0.0
980978400000,0.065
980982000000,0.246
980985600000,0.433
980989200000,0.575
980992800000,0.651
980996400000,0.69
981000000000,0.67
981003600000,0.595
981007200000,0.497
981010800000,0.337
981014400000,0.134
981018000000,0.0
981021600000,0.0
981025200000,0.0
981028800000,0.0
981032400000,0.0
981036000000,0.0
981039600000,0.0
