,Mn8
538401600000,0.0
538405200000,0.0
538408800000,0.0
538412400000,0.0
538416000000,0.0
538419600000,0.0
538423200000,0.0
538426800000,0.0
538430400000,0.0
538434000000,0.0
538437600000,0.117
538441200000,0.345
538444800000,0.551
538448400000,0.68
538452000000,0.757
538455600000,0.785
538459200000,0.768
538462800000,0.702
538466400000,0.587
538470000000,0.417
538473600000,0.193
538477200000,0.003
538480800000,0.0
538484400000,0.0
538488000000,0.0
538491600000,0.0
538495200000,0.0
538498800000,0.0
538502400000,0.0
538506000000,0.0
538509600000,0.0
538513200000,0.0
538516800000,0.0
538520400000,0.0
538524000000,0.118
538527600000,0.341
538531200000,0.528
538534800000,0.649
538538400000,0.722
538542000000,0.738
538545600000,0.71
538549200000,0.641
538552800000,0.53
538556400000,0.378
538560000000,0.167
538563600000,0.001
538567200000,0.0
538570800000,0.0
538574400000,0.0
538578000000,0.0
538581600000,0.0
538585200000,0.0
538588800000,0.0
538592400000,0.0
538596000000,0.0
538599600000,0.0
538603200000,0.0
538606800000,0.0
538610400000,0.058
538614000000,0.211
538617600000,0.368
538621200000,0.478
538624800000,0.554
538628400000,0.618
538632000000,0.573
538635600000,0.441
538639200000,0.33
538642800000,0.222
538646400000,0.089
538650000000,0.0
538653600000,0.0
538657200000,0.0
538660800000,0.0
538664400000,0.0
538668000000,0.0
538671600000,0.0
538675200000,0.0
538678800000,0.0
538682400000,0.0
538686000000,0.0
538689600000,0.0
538693200000,0.0
538696800000,0.058
538700400000,0.22
538704000000,0.409
538707600000,0.561
538711200000,0.691
538714800000,0.725
538718400000,0.696
538722000000,0.609
538725600000,0.428
538729200000,0.217
538732800000,0.062
538736400000,0.0
538740000000,0.0
538743600000,0.0
538747200000,0.0
538750800000,0.0
538754400000,0.0
538758000000,0.0
538761600000,0.0
538765200000,0.0
538768800000,0.0
538772400000,0.0
538776000000,0.0
538779600000,0.0
538783200000,0.069
538786800000,0.231
538790400000,0.392
538794000000,0.471
538797600000,0.452
538801200000,0.362
538804800000,0.308
538808400000,0.291
538812000000,0.278
538815600000,0.207
538819200000,0.094
538822800000,0.0
538826400000,0.0
538830000000,0.0
538833600000,0.0
538837200000,0.0
538840800000,0.0
538844400000,0.0
538848000000,0.0
538851600000,0.0
538855200000,0.0
538858800000,0.0
538862400000,0.0
538866000000,0.0
538869600000,0.067
538873200000,0.261
538876800000,0.451
538880400000,0.59
538884000000,0.676
538887600000,0.71
