,L5
790992000000,0.019
790995600000,0.019
790999200000,0.019
791002800000,0.026
791006400000,0.037
791010000000,0.045
791013600000,0.049
791017200000,0.045
791020800000,0.023
791024400000,0.006
791028000000,0.001
791031600000,0.0
791035200000,0.01
791038800000,0.05
791042400000,0.076
791046000000,0.077
791049600000,0.063
791053200000,0.04
791056800000,0.022
791060400000,0.015
791064000000,0.016
791067600000,0.02
791071200000,0.033
791074800000,0.076
791078400000,0.179
791082000000,0.227
791085600000,0.18
791089200000,0.1
791092800000,0.037
791096400000,0.061
791100000000,0.068
791103600000,0.072
791107200000,0.074
791110800000,0.08
791114400000,0.086
791118000000,0.077
791121600000,0.059
791125200000,0.041
791128800000,0.019
791132400000,0.005
791136000000,0.001
791139600000,0.001
791143200000,0.001
791146800000,0.002
791150400000,0.003
791154000000,0.003
791157600000,0.001
791161200000,0.003
791164800000,0.008
791168400000,0.011
791172000000,0.02
791175600000,0.034
791179200000,0.051
791182800000,0.084
791186400000,0.123
791190000000,0.167
791193600000,0.217
791197200000,0.275
791200800000,0.29
791204400000,0.251
791208000000,0.175
791211600000,0.085
791215200000,0.019
791218800000,0.0
791222400000,0.0
791226000000,0.013
791229600000,0.033
791233200000,0.044
791236800000,0.049
791240400000,0.041
791244000000,0.023
791247600000,0.008
791251200000,0.002
791254800000,0.003
791258400000,0.012
791262000000,0.041
791265600000,0.112
791269200000,0.22
791272800000,0.352
791276400000,0.491
791280000000,0.626
791283600000,0.763
791287200000,0.842
791290800000,0.866
791294400000,0.861
791298000000,0.83
791301600000,0.807
791305200000,0.734
791308800000,0.55
791312400000,0.37
791316000000,0.261
791319600000,0.196
791323200000,0.14
791326800000,0.104
791330400000,0.081
791334000000,0.078
791337600000,0.085
791341200000,0.066
791344800000,0.043
791348400000,0.027
791352000000,0.02
791355600000,0.025
791359200000,0.038
791362800000,0.058
791366400000,0.078
791370000000,0.089
791373600000,0.074
791377200000,0.028
791380800000,0.004
791384400000,0.014
791388000000,0.062
791391600000,0.118
791395200000,0.134
791398800000,0.122
791402400000,0.103
791406000000,0.099
791409600000,0.094
791413200000,0.073
791416800000,0.046
791420400000,0.034
791424000000,0.032
791427600000,0.011
791431200000,0.005
791434800000,0.017
791438400000,0.054
791442000000,0.117
791445600000,0.194
791449200000,0.278
791452800000,0.357
791456400000,0.45
791460000000,0.467
791463600000,0.381
791467200000,0.232
791470800000,0.084
791474400000,0.014
791478000000,0.005
791481600000,0.01
791485200000,0.017
791488800000,0.031
791492400000,0.033
791496000000,0.035
791499600000,0.05
791503200000,0.079
791506800000,0.112
791510400000,0.153
791514000000,0.155
791517600000,0.155
791521200000,0.201
791524800000,0.311
791528400000,0.481
791532000000,0.655
791535600000,0.75
791539200000,0.773
791542800000,0.762
791546400000,0.739
791550000000,0.702
791553600000,0.659
791557200000,0.662
791560800000,0.737
791564400000,0.75
791568000000,0.72
791571600000,0.666
791575200000,0.587
791578800000,0.497
791582400000,0.405
791586000000,0.341
791589600000,0.28
791593200000,0.238
791596800000,0.229
791600400000,0.171
791604000000,0.115
791607600000,0.079
791611200000,0.07
791614800000,0.086
791618400000,0.121
791622000000,0.155
791625600000,0.179
791629200000,0.192
791632800000,0.178
791636400000,0.261
791640000000,0.414
791643600000,0.414
791647200000,0.316
791650800000,0.253
791654400000,0.225
791658000000,0.18
791661600000,0.155
791665200000,0.134
791668800000,0.117
791672400000,0.102
791676000000,0.108
791679600000,0.135
791683200000,0.172
791686800000,0.172
791690400000,0.164
791694000000,0.167
791697600000,0.172
791701200000,0.187
791704800000,0.207
791708400000,0.204
791712000000,0.168
791715600000,0.136
791719200000,0.163
791722800000,0.23
791726400000,0.272
791730000000,0.343
791733600000,0.395
791737200000,0.325
791740800000,0.294
791744400000,0.275
791748000000,0.228
791751600000,0.245
791755200000,0.259
791758800000,0.244
791762400000,0.167
791766000000,0.125
791769600000,0.175
791773200000,0.191
791776800000,0.173
791780400000,0.147
791784000000,0.137
791787600000,0.144
791791200000,0.162
791794800000,0.17
791798400000,0.134
791802000000,0.084
791805600000,0.044
791809200000,0.041
791812800000,0.05
791816400000,0.053
791820000000,0.055
791823600000,0.039
791827200000,0.028
791830800000,0.022
791834400000,0.021
791838000000,0.018
791841600000,0.01
791845200000,0.002
791848800000,0.005
791852400000,0.013
791856000000,0.045
791859600000,0.089
791863200000,0.139
791866800000,0.194
791870400000,0.343
791874000000,0.575
791877600000,0.777
791881200000,0.875
791884800000,0.91
791888400000,0.917
791892000000,0.913
791895600000,0.909
791899200000,0.901
791902800000,0.887
791906400000,0.829
791910000000,0.72
791913600000,0.596
791917200000,0.514
791920800000,0.51
791924400000,0.568
791928000000,0.631
791931600000,0.675
791935200000,0.693
791938800000,0.674
791942400000,0.661
791946000000,0.615
791949600000,0.562
791953200000,0.484
791956800000,0.464
791960400000,0.526
791964000000,0.633
791967600000,0.712
791971200000,0.708
791974800000,0.629
791978400000,0.547
791982000000,0.525
791985600000,0.552
791989200000,0.503
791992800000,0.379
791996400000,0.272
792000000000,0.207
792003600000,0.168
792007200000,0.145
792010800000,0.143
792014400000,0.146
792018000000,0.155
792021600000,0.155
792025200000,0.169
792028800000,0.19
792032400000,0.16
792036000000,0.123
792039600000,0.1
792043200000,0.084
792046800000,0.08
792050400000,0.089
792054000000,0.114
792057600000,0.167
792061200000,0.225
792064800000,0.232
792068400000,0.233
792072000000,0.289
792075600000,0.353
792079200000,0.334
792082800000,0.274
792086400000,0.233
792090000000,0.201
792093600000,0.168
792097200000,0.139
792100800000,0.106
792104400000,0.087
792108000000,0.072
792111600000,0.063
792115200000,0.054
792118800000,0.021
792122400000,0.003
792126000000,0.0
792129600000,0.0
792133200000,0.007
792136800000,0.035
792140400000,0.054
792144000000,0.063
792147600000,0.058
792151200000,0.03
792154800000,0.011
792158400000,0.004
792162000000,0.058
792165600000,0.169
792169200000,0.234
792172800000,0.254
792176400000,0.248
792180000000,0.242
792183600000,0.249
792187200000,0.266
792190800000,0.27
792194400000,0.231
792198000000,0.208
792201600000,0.179
792205200000,0.088
792208800000,0.018
792212400000,0.002
792216000000,0.002
792219600000,0.014
792223200000,0.05
792226800000,0.099
792230400000,0.114
792234000000,0.118
792237600000,0.119
792241200000,0.104
792244800000,0.08
792248400000,0.052
792252000000,0.028
792255600000,0.011
792259200000,0.004
792262800000,0.001
792266400000,0.001
792270000000,0.001
792273600000,0.002
792277200000,0.003
792280800000,0.002
792284400000,0.001
792288000000,0.001
792291600000,0.002
792295200000,0.013
792298800000,0.06
792302400000,0.12
792306000000,0.193
792309600000,0.272
792313200000,0.358
792316800000,0.422
792320400000,0.488
792324000000,0.524
792327600000,0.498
792331200000,0.393
792334800000,0.241
792338400000,0.104
792342000000,0.029
792345600000,0.012
792349200000,0.019
792352800000,0.042
792356400000,0.076
792360000000,0.111
792363600000,0.141
792367200000,0.156
792370800000,0.166
792374400000,0.169
792378000000,0.105
792381600000,0.034
792385200000,0.009
792388800000,0.012
792392400000,0.014
792396000000,0.027
792399600000,0.048
792403200000,0.052
792406800000,0.038
792410400000,0.015
792414000000,0.007
792417600000,0.02
792421200000,0.104
792424800000,0.213
792428400000,0.289
792432000000,0.305
792435600000,0.283
792439200000,0.268
792442800000,0.272
792446400000,0.264
792450000000,0.259
792453600000,0.245
792457200000,0.264
792460800000,0.305
792464400000,0.254
792468000000,0.154
792471600000,0.057
792475200000,0.04
792478800000,0.068
792482400000,0.085
792486000000,0.122
792489600000,0.153
792493200000,0.156
792496800000,0.121
792500400000,0.064
792504000000,0.019
792507600000,0.003
792511200000,0.001
792514800000,0.002
792518400000,0.002
792522000000,0.001
792525600000,0.0
792529200000,0.0
792532800000,0.0
792536400000,0.0
792540000000,0.0
792543600000,0.001
792547200000,0.003
792550800000,0.002
792554400000,0.0
792558000000,0.001
792561600000,0.002
792565200000,0.01
792568800000,0.045
792572400000,0.103
792576000000,0.153
792579600000,0.201
792583200000,0.211
792586800000,0.158
792590400000,0.083
792594000000,0.021
792597600000,0.003
792601200000,0.005
792604800000,0.018
792608400000,0.032
792612000000,0.034
792615600000,0.033
792619200000,0.033
792622800000,0.039
792626400000,0.043
792630000000,0.048
792633600000,0.028
792637200000,0.004
792640800000,0.0
792644400000,0.0
792648000000,0.011
792651600000,0.073
792655200000,0.154
792658800000,0.191
792662400000,0.207
792666000000,0.286
792669600000,0.394
792673200000,0.428
792676800000,0.385
792680400000,0.292
792684000000,0.196
792687600000,0.123
792691200000,0.079
792694800000,0.058
792698400000,0.045
792702000000,0.036
792705600000,0.03
792709200000,0.025
792712800000,0.018
792716400000,0.01
792720000000,0.012
792723600000,0.025
792727200000,0.058
792730800000,0.09
792734400000,0.119
792738000000,0.151
792741600000,0.175
792745200000,0.192
792748800000,0.196
792752400000,0.209
792756000000,0.233
792759600000,0.251
792763200000,0.262
792766800000,0.252
792770400000,0.213
792774000000,0.163
792777600000,0.121
792781200000,0.086
792784800000,0.062
792788400000,0.054
792792000000,0.051
792795600000,0.033
792799200000,0.014
792802800000,0.003
792806400000,0.0
792810000000,0.0
792813600000,0.0
792817200000,0.006
792820800000,0.056
792824400000,0.115
792828000000,0.163
792831600000,0.198
792835200000,0.22
792838800000,0.249
792842400000,0.278
792846000000,0.312
792849600000,0.364
792853200000,0.401
792856800000,0.395
792860400000,0.354
792864000000,0.298
792867600000,0.254
792871200000,0.225
792874800000,0.193
792878400000,0.141
792882000000,0.084
792885600000,0.043
792889200000,0.02
792892800000,0.008
792896400000,0.006
792900000000,0.021
792903600000,0.068
792907200000,0.12
792910800000,0.144
792914400000,0.156
792918000000,0.171
792921600000,0.199
792925200000,0.252
792928800000,0.261
792932400000,0.205
792936000000,0.124
792939600000,0.044
792943200000,0.005
792946800000,0.001
792950400000,0.016
792954000000,0.067
792957600000,0.127
792961200000,0.17
792964800000,0.186
792968400000,0.181
792972000000,0.162
792975600000,0.129
792979200000,0.095
792982800000,0.033
792986400000,0.01
792990000000,0.012
792993600000,0.021
792997200000,0.043
793000800000,0.075
793004400000,0.089
793008000000,0.064
793011600000,0.035
793015200000,0.021
793018800000,0.02
793022400000,0.048
793026000000,0.141
793029600000,0.218
793033200000,0.247
793036800000,0.259
793040400000,0.251
793044000000,0.231
793047600000,0.221
793051200000,0.232
793054800000,0.271
793058400000,0.305
793062000000,0.409
793065600000,0.516
793069200000,0.453
793072800000,0.296
793076400000,0.137
793080000000,0.041
793083600000,0.008
793087200000,0.003
793090800000,0.008
793094400000,0.027
793098000000,0.035
793101600000,0.028
793105200000,0.027
793108800000,0.035
793112400000,0.036
793116000000,0.033
793119600000,0.025
793123200000,0.017
793126800000,0.012
793130400000,0.011
793134000000,0.012
793137600000,0.015
793141200000,0.018
793144800000,0.018
793148400000,0.019
793152000000,0.012
793155600000,0.006
793159200000,0.004
793162800000,0.006
793166400000,0.024
793170000000,0.071
793173600000,0.137
793177200000,0.214
793180800000,0.314
793184400000,0.42
793188000000,0.465
793191600000,0.464
793195200000,0.398
793198800000,0.278
793202400000,0.168
793206000000,0.073
793209600000,0.021
793213200000,0.01
793216800000,0.017
793220400000,0.037
793224000000,0.07
793227600000,0.111
793231200000,0.137
793234800000,0.158
793238400000,0.134
793242000000,0.065
793245600000,0.009
793249200000,0.001
793252800000,0.011
793256400000,0.054
793260000000,0.12
793263600000,0.157
793267200000,0.158
793270800000,0.139
793274400000,0.085
793278000000,0.018
793281600000,0.001
793285200000,0.0
793288800000,0.007
793292400000,0.039
793296000000,0.092
793299600000,0.155
793303200000,0.199
793306800000,0.201
793310400000,0.187
793314000000,0.172
793317600000,0.163
793321200000,0.178
793324800000,0.198
793328400000,0.151
793332000000,0.075
793335600000,0.017
793339200000,0.03
793342800000,0.045
793346400000,0.071
793350000000,0.122
793353600000,0.167
793357200000,0.148
793360800000,0.097
793364400000,0.053
793368000000,0.019
793371600000,0.002
793375200000,0.001
793378800000,0.015
793382400000,0.051
793386000000,0.08
793389600000,0.088
793393200000,0.091
793396800000,0.102
793400400000,0.118
793404000000,0.115
793407600000,0.132
793411200000,0.11
793414800000,0.042
793418400000,0.002
793422000000,0.003
793425600000,0.013
793429200000,0.063
793432800000,0.142
793436400000,0.214
793440000000,0.277
793443600000,0.351
793447200000,0.399
793450800000,0.369
793454400000,0.295
793458000000,0.2
793461600000,0.1
793465200000,0.029
793468800000,0.003
793472400000,0.001
793476000000,0.003
793479600000,0.011
793483200000,0.019
793486800000,0.02
793490400000,0.015
793494000000,0.016
793497600000,0.01
793501200000,0.001
793504800000,0.003
793508400000,0.013
793512000000,0.046
793515600000,0.101
793519200000,0.167
793522800000,0.237
793526400000,0.296
793530000000,0.334
793533600000,0.336
793537200000,0.303
793540800000,0.231
793544400000,0.136
793548000000,0.053
793551600000,0.005
793555200000,0.0
793558800000,0.001
793562400000,0.015
793566000000,0.048
793569600000,0.072
793573200000,0.074
793576800000,0.055
793580400000,0.035
793584000000,0.009
793587600000,0.001
793591200000,0.004
793594800000,0.023
793598400000,0.079
793602000000,0.156
793605600000,0.233
793609200000,0.317
793612800000,0.404
793616400000,0.454
793620000000,0.417
793623600000,0.289
793627200000,0.128
793630800000,0.021
793634400000,0.0
793638000000,0.0
793641600000,0.023
793645200000,0.074
793648800000,0.111
793652400000,0.118
793656000000,0.102
793659600000,0.074
793663200000,0.045
793666800000,0.022
793670400000,0.003
793674000000,0.0
793677600000,0.0
793681200000,0.005
793684800000,0.041
793688400000,0.102
793692000000,0.159
793695600000,0.209
793699200000,0.261
793702800000,0.322
793706400000,0.353
793710000000,0.305
793713600000,0.228
793717200000,0.145
793720800000,0.073
793724400000,0.024
793728000000,0.004
793731600000,0.001
793735200000,0.0
793738800000,0.0
793742400000,0.0
793746000000,0.0
793749600000,0.0
793753200000,0.0
793756800000,0.0
793760400000,0.0
793764000000,0.001
793767600000,0.012
793771200000,0.049
793774800000,0.124
793778400000,0.201
793782000000,0.27
793785600000,0.343
793789200000,0.472
793792800000,0.562
793796400000,0.544
793800000000,0.449
793803600000,0.289
793807200000,0.123
793810800000,0.016
793814400000,0.0
793818000000,0.001
793821600000,0.008
793825200000,0.02
793828800000,0.026
793832400000,0.043
793836000000,0.069
793839600000,0.108
793843200000,0.113
793846800000,0.062
793850400000,0.012
793854000000,0.0
793857600000,0.003
793861200000,0.066
793864800000,0.161
793868400000,0.232
793872000000,0.253
793875600000,0.267
793879200000,0.27
793882800000,0.264
793886400000,0.268
793890000000,0.261
793893600000,0.237
793897200000,0.186
793900800000,0.131
793904400000,0.084
793908000000,0.046
793911600000,0.027
793915200000,0.02
793918800000,0.022
793922400000,0.027
793926000000,0.036
793929600000,0.046
793933200000,0.061
793936800000,0.085
793940400000,0.132
793944000000,0.207
793947600000,0.304
793951200000,0.413
793954800000,0.501
793958400000,0.556
793962000000,0.577
793965600000,0.501
793969200000,0.332
793972800000,0.155
793976400000,0.035
793980000000,0.001
793983600000,0.0
793987200000,0.013
793990800000,0.064
793994400000,0.119
793998000000,0.149
794001600000,0.148
794005200000,0.137
794008800000,0.128
794012400000,0.186
794016000000,0.239
794019600000,0.202
794023200000,0.112
794026800000,0.03
794030400000,0.005
794034000000,0.018
794037600000,0.025
794041200000,0.041
794044800000,0.058
794048400000,0.055
794052000000,0.041
794055600000,0.03
794059200000,0.017
794062800000,0.003
794066400000,0.029
794070000000,0.088
794073600000,0.142
794077200000,0.17
794080800000,0.167
794084400000,0.144
794088000000,0.121
794091600000,0.104
794095200000,0.093
794098800000,0.106
794102400000,0.105
794106000000,0.06
794109600000,0.015
794113200000,0.001
794116800000,0.005
794120400000,0.011
794124000000,0.037
794127600000,0.054
794131200000,0.047
794134800000,0.028
794138400000,0.014
794142000000,0.01
794145600000,0.015
794149200000,0.023
794152800000,0.025
794156400000,0.025
794160000000,0.027
794163600000,0.035
794167200000,0.046
794170800000,0.059
794174400000,0.066
794178000000,0.058
794181600000,0.041
794185200000,0.028
794188800000,0.025
794192400000,0.018
794196000000,0.01
794199600000,0.01
794203200000,0.028
794206800000,0.088
794210400000,0.184
794214000000,0.29
794217600000,0.395
794221200000,0.497
794224800000,0.552
794228400000,0.587
794232000000,0.603
794235600000,0.622
794239200000,0.633
794242800000,0.644
794246400000,0.671
794250000000,0.693
794253600000,0.74
794257200000,0.793
794260800000,0.834
794264400000,0.862
794268000000,0.869
794271600000,0.865
794275200000,0.819
794278800000,0.756
794282400000,0.692
794286000000,0.674
794289600000,0.702
794293200000,0.745
794296800000,0.774
794300400000,0.785
794304000000,0.78
794307600000,0.75
794311200000,0.642
794314800000,0.42
794318400000,0.16
794322000000,0.048
794325600000,0.101
794329200000,0.211
794332800000,0.231
794336400000,0.179
794340000000,0.135
794343600000,0.118
794347200000,0.105
794350800000,0.1
794354400000,0.094
794358000000,0.118
794361600000,0.069
794365200000,0.013
794368800000,0.001
794372400000,0.001
794376000000,0.006
794379600000,0.048
794383200000,0.105
794386800000,0.117
794390400000,0.101
794394000000,0.061
794397600000,0.016
794401200000,0.001
794404800000,0.0
794408400000,0.011
794412000000,0.099
794415600000,0.223
794419200000,0.289
794422800000,0.28
794426400000,0.235
794430000000,0.179
794433600000,0.127
794437200000,0.084
794440800000,0.054
794444400000,0.048
794448000000,0.027
794451600000,0.014
794455200000,0.011
794458800000,0.013
794462400000,0.017
794466000000,0.031
794469600000,0.07
794473200000,0.103
794476800000,0.148
794480400000,0.199
794484000000,0.21
794487600000,0.159
794491200000,0.086
794494800000,0.025
794498400000,0.005
794502000000,0.009
794505600000,0.063
794509200000,0.149
