,S1
951141600000,0.466
951145200000,0.464
951148800000,0.457
951152400000,0.457
951156000000,0.478
951159600000,0.491
951163200000,0.495
951166800000,0.493
951170400000,0.434
951174000000,0.432
951177600000,0.587
951181200000,0.61
951184800000,0.58
951188400000,0.571
951192000000,0.575
951195600000,0.561
951199200000,0.537
951202800000,0.488
951206400000,0.405
951210000000,0.337
951213600000,0.317
951217200000,0.294
951220800000,0.281
951224400000,0.278
951228000000,0.278
951231600000,0.28
951235200000,0.32
951238800000,0.332
951242400000,0.334
951246000000,0.349
951249600000,0.376
951253200000,0.407
951256800000,0.374
951260400000,0.41
951264000000,0.519
951267600000,0.574
951271200000,0.57
951274800000,0.544
951278400000,0.516
951282000000,0.487
951285600000,0.447
951289200000,0.391
951292800000,0.31
951296400000,0.284
951300000000,0.266
951303600000,0.251
951307200000,0.252
951310800000,0.27
951314400000,0.261
951318000000,0.242
951321600000,0.214
951325200000,0.202
951328800000,0.195
951332400000,0.19
951336000000,0.194
951339600000,0.197
951343200000,0.161
951346800000,0.163
951350400000,0.249
951354000000,0.306
951357600000,0.336
951361200000,0.326
951364800000,0.286
951368400000,0.236
951372000000,0.196
951375600000,0.178
951379200000,0.172
951382800000,0.233
951386400000,0.289
951390000000,0.331
951393600000,0.367
951397200000,0.41
951400800000,0.42
951404400000,0.425
951408000000,0.421
951411600000,0.412
951415200000,0.413
951418800000,0.422
951422400000,0.427
951426000000,0.435
951429600000,0.419
951433200000,0.393
951436800000,0.459
951440400000,0.552
951444000000,0.561
951447600000,0.546
951451200000,0.523
951454800000,0.5
951458400000,0.469
951462000000,0.422
951465600000,0.352
951469200000,0.34
951472800000,0.364
951476400000,0.401
951480000000,0.436
951483600000,0.473
951487200000,0.5
951490800000,0.506
951494400000,0.462
951498000000,0.479
951501600000,0.508
951505200000,0.516
951508800000,0.511
951512400000,0.533
951516000000,0.529
951519600000,0.547
951523200000,0.674
951526800000,0.769
951530400000,0.782
951534000000,0.762
951537600000,0.715
951541200000,0.654
951544800000,0.601
951548400000,0.559
951552000000,0.522
951555600000,0.515
951559200000,0.512
951562800000,0.522
951566400000,0.554
951570000000,0.618
951573600000,0.626
951577200000,0.624
951580800000,0.62
951584400000,0.628
951588000000,0.655
951591600000,0.699
951595200000,0.756
951598800000,0.803
951602400000,0.809
951606000000,0.806
951609600000,0.872
951613200000,0.91
951616800000,0.917
951620400000,0.899
951624000000,0.873
951627600000,0.846
951631200000,0.813
951634800000,0.758
951638400000,0.681
951642000000,0.633
951645600000,0.641
951649200000,0.661
951652800000,0.657
951656400000,0.649
951660000000,0.606
951663600000,0.623
951667200000,0.604
951670800000,0.569
951674400000,0.583
951678000000,0.594
951681600000,0.617
951685200000,0.689
951688800000,0.678
951692400000,0.697
951696000000,0.825
951699600000,0.875
951703200000,0.871
951706800000,0.849
951710400000,0.815
951714000000,0.77
951717600000,0.702
951721200000,0.642
951724800000,0.56
951728400000,0.52
951732000000,0.553
951735600000,0.586
951739200000,0.621
951742800000,0.622
951746400000,0.602
951750000000,0.58
951753600000,0.547
951757200000,0.526
951760800000,0.522
951764400000,0.547
951768000000,0.553
951771600000,0.583
951775200000,0.621
951778800000,0.657
951782400000,0.77
951786000000,0.831
951789600000,0.842
951793200000,0.832
951796800000,0.82
951800400000,0.806
951804000000,0.787
951807600000,0.765
951811200000,0.733
951814800000,0.725
951818400000,0.717
951822000000,0.724
951825600000,0.715
951829200000,0.753
951832800000,0.751
951836400000,0.746
951840000000,0.75
951843600000,0.759
951847200000,0.765
951850800000,0.788
951854400000,0.808
951858000000,0.827
951861600000,0.822
951865200000,0.866
951868800000,0.925
951872400000,0.944
951876000000,0.943
951879600000,0.932
951883200000,0.92
951886800000,0.905
951890400000,0.875
951894000000,0.842
951897600000,0.805
951901200000,0.748
951904800000,0.674
951908400000,0.649
951912000000,0.645
951915600000,0.681
951919200000,0.717
951922800000,0.729
951926400000,0.773
951930000000,0.796
951933600000,0.778
