,Mn4
917809200000,0.137
917812800000,0.141
917816400000,0.148
917820000000,0.148
917823600000,0.172
917827200000,0.214
917830800000,0.227
917834400000,0.24
917838000000,0.236
917841600000,0.218
917845200000,0.2
917848800000,0.182
917852400000,0.171
917856000000,0.166
917859600000,0.17
917863200000,0.176
917866800000,0.184
917870400000,0.194
917874000000,0.181
917877600000,0.164
917881200000,0.131
917884800000,0.103
917888400000,0.102
917892000000,0.11
917895600000,0.123
917899200000,0.141
917902800000,0.17
917906400000,0.187
917910000000,0.21
917913600000,0.238
917917200000,0.246
917920800000,0.239
917924400000,0.214
917928000000,0.195
917931600000,0.186
917935200000,0.187
917938800000,0.197
917942400000,0.199
917946000000,0.206
917949600000,0.213
917953200000,0.225
917956800000,0.233
917960400000,0.237
917964000000,0.248
917967600000,0.267
917971200000,0.277
917974800000,0.289
917978400000,0.295
917982000000,0.302
917985600000,0.307
917989200000,0.31
917992800000,0.279
917996400000,0.285
918000000000,0.297
918003600000,0.295
918007200000,0.294
918010800000,0.295
918014400000,0.291
918018000000,0.289
918021600000,0.296
918025200000,0.312
918028800000,0.329
918032400000,0.342
918036000000,0.352
918039600000,0.376
918043200000,0.383
918046800000,0.382
918050400000,0.386
918054000000,0.42
918057600000,0.442
918061200000,0.448
918064800000,0.447
918068400000,0.447
918072000000,0.442
918075600000,0.392
918079200000,0.297
918082800000,0.296
918086400000,0.311
918090000000,0.302
918093600000,0.293
918097200000,0.325
918100800000,0.38
918104400000,0.432
918108000000,0.479
918111600000,0.507
918115200000,0.494
918118800000,0.438
918122400000,0.427
918126000000,0.433
918129600000,0.431
918133200000,0.397
918136800000,0.362
918140400000,0.334
918144000000,0.325
918147600000,0.332
918151200000,0.352
918154800000,0.361
918158400000,0.422
918162000000,0.475
918165600000,0.507
918169200000,0.58
918172800000,0.668
918176400000,0.737
918180000000,0.786
918183600000,0.829
918187200000,0.86
918190800000,0.878
918194400000,0.885
918198000000,0.873
918201600000,0.829
918205200000,0.763
918208800000,0.757
918212400000,0.762
